VCL_PROG_MIN,STR_PROG_MIN,VCL_IMM_MAX,avg_total_mae
25,0.5,5,34.11
25,0.5,4,34.27
25,0.55,5,34.48
30,0.5,5,34.49
30,0.5,6,34.63
30,0.4,5,34.68
30,0.45,5,34.73
25,0.55,4,34.76
30,0.5,7,34.78
30,0.5,4,34.78
30,0.45,6,34.89
25,0.5,6,34.89
30,0.4,6,34.97
30,0.4,4,34.97
30,0.45,4,35.01
30,0.45,7,35.04
25,0.55,6,35.04
35,0.4,5,35.07
30,0.4,7,35.12
25,0.45,5,35.13
25,0.45,4,35.16
25,0.5,7,35.18
35,0.45,5,35.21
35,0.4,7,35.21
35,0.4,6,35.24
25,0.55,7,35.33
35,0.45,7,35.35
35,0.4,4,35.36
25,0.4,4,35.37
35,0.45,6,35.38
25,0.4,5,35.42
30,0.55,5,35.43
20,0.55,4,35.44
35,0.45,4,35.5
30,0.55,6,35.5
30,0.5,8,35.56
20,0.5,4,35.59
30,0.55,7,35.64
20,0.55,5,35.68
35,0.5,5,35.69
30,0.55,4,35.72
25,0.5,3,35.73
35,0.5,7,35.73
35,0.5,6,35.76
20,0.5,5,35.83
30,0.45,8,35.83
25,0.5,8,35.96
35,0.5,4,35.97
35,0.4,8,35.97
35,0.45,8,35.98
25,0.45,6,35.99
30,0.4,8,36.03
25,0.6,5,36.1
25,0.55,8,36.12
20,0.6,4,36.21
20,0.6,5,36.22
25,0.55,3,36.23
30,0.5,3,36.25
30,0.5,9,36.25
25,0.5,2,36.28
25,0.45,7,36.28
25,0.4,6,36.3
30,0.55,8,36.31
35,0.4,9,36.35
25,0.6,6,36.35
35,0.5,8,36.36
15,0.55,4,36.36
35,0.45,9,36.36
25,0.6,4,36.38
30,0.4,3,36.44
20,0.5,3,36.45
30,0.45,3,36.49
30,0.45,9,36.52
35,0.5,9,36.52
20,0.5,2,36.59
20,0.55,3,36.6
15,0.55,5,36.6
25,0.4,7,36.6
25,0.45,3,36.63
25,0.6,7,36.64
25,0.5,9,36.65
20,0.55,6,36.66
30,0.4,9,36.72
15,0.5,4,36.76
20,0.45,4,36.79
30,0.5,2,36.8
25,0.55,9,36.81
25,0.4,3,36.83
15,0.55,3,36.83
35,0.4,3,36.83
20,0.5,6,36.91
35,0.55,5,36.91
30,0.55,9,36.94
25,0.55,2,36.95
15,0.6,4,36.95
35,0.55,7,36.95
20,0.55,7,36.95
35,0.45,3,36.97
35,0.55,6,36.98
15,0.6,5,36.99
30,0.4,2,36.99
15,0.5,5,37.0
20,0.6,6,37.0
20,0.45,5,37.03
20,0.55,2,37.03
30,0.45,2,37.04
15,0.5,2,37.05
30,0.6,5,37.07
25,0.45,8,37.07
20,0.4,4,37.08
30,0.6,7,37.11
25,0.4,2,37.13
30,0.6,6,37.14
40,0.4,5,37.16
25,0.45,2,37.18
35,0.55,4,37.19
30,0.55,3,37.19
15,0.5,3,37.2
20,0.5,7,37.2
15,0.55,2,37.24
25,0.65,5,37.25
20,0.6,7,37.29
40,0.4,7,37.29
40,0.45,5,37.3
20,0.4,5,37.32
40,0.4,6,37.32
30,0.5,10,37.34
30,0.6,4,37.36
20,0.65,4,37.37
20,0.65,5,37.38
10,0.55,2,37.38
25,0.6,8,37.42
40,0.45,7,37.43
35,0.4,10,37.44
40,0.4,4,37.45
35,0.5,3,37.45
35,0.45,10,37.45
40,0.45,6,37.46
10,0.55,4,37.48
25,0.65,6,37.5
40,0.4,8,37.5
40,0.4,9,37.5
40,0.45,9,37.51
40,0.45,8,37.51
25,0.4,8,37.53
25,0.65,4,37.54
35,0.4,2,37.55
35,0.55,9,37.57
15,0.55,6,37.58
35,0.55,8,37.58
40,0.45,4,37.59
30,0.45,10,37.6
35,0.5,10,37.61
20,0.45,3,37.64
20,0.6,3,37.67
35,0.45,2,37.69
20,0.45,2,37.7
10,0.55,5,37.72
20,0.55,8,37.73
25,0.5,10,37.74
30,0.6,8,37.74
25,0.45,9,37.76
15,0.6,6,37.76
40,0.5,5,37.77
10,0.5,2,37.77
25,0.65,7,37.8
40,0.5,7,37.81
30,0.4,10,37.81
10,0.6,4,37.81
40,0.5,6,37.84
10,0.6,5,37.85
25,0.6,3,37.86
20,0.4,2,37.86
15,0.55,7,37.87
25,0.55,10,37.89
40,0.5,9,37.89
40,0.5,8,37.89
30,0.55,2,37.91
10,0.55,3,37.92
15,0.6,3,37.92
20,0.4,3,37.93
20,0.5,8,37.98
30,0.55,10,38.02
40,0.5,4,38.06
15,0.6,7,38.06
10,0.5,4,38.07
20,0.6,8,38.07
15,0.5,6,38.07
15,0.65,4,38.08
20,0.45,6,38.1
25,0.6,9,38.11
15,0.65,5,38.11
20,0.65,6,38.15
35,0.5,2,38.16
25,0.4,9,38.23
30,0.6,9,38.25
30,0.65,5,38.26
10,0.6,3,38.26
15,0.45,4,38.29
30,0.5,11,38.3
30,0.65,7,38.3
10,0.5,5,38.31
