experiment,category,MAE,RMSE,r,p,bias,n_videos
GT-ceiling,progressive,15.15,20.37,-0.236,0.6521,-0.42,6
GT-ceiling,non_progressive,9.93,11.57,0.936,0.0059,4.33,6
GT-ceiling,immotile,16.15,20.3,0.623,0.1862,-3.92,6
YOLOv8n-legacy,progressive,10.67,14.3,0.608,0.1999,7.9,6
YOLOv8n-legacy,non_progressive,10.1,11.83,0.613,0.1954,7.87,6
YOLOv8n-legacy,immotile,17.93,22.05,0.738,0.094,-15.77,6
YOLOv8l-legacy,progressive,15.1,17.28,0.501,0.3116,11.57,6
YOLOv8l-legacy,non_progressive,12.67,13.0,0.773,0.0715,10.1,6
YOLOv8l-legacy,immotile,21.67,25.21,0.804,0.0539,-21.67,6
rtdetr-l_botsort,progressive,15.84,18.56,0.275,0.2399,7.58,20
rtdetr-l_botsort,non_progressive,28.08,31.82,-0.257,0.2743,26.19,20
rtdetr-l_botsort,immotile,33.78,36.53,0.689,0.0008,-33.78,20
rtdetr-l_bytetrack,progressive,11.75,14.17,0.471,0.036,0.29,20
rtdetr-l_bytetrack,non_progressive,25.62,29.33,0.031,0.8976,25.16,20
rtdetr-l_bytetrack,immotile,25.44,29.28,0.591,0.006,-25.44,20
yolo11n_botsort,progressive,15.09,18.66,0.539,0.0141,12.81,20
yolo11n_botsort,non_progressive,26.82,31.23,-0.439,0.0529,23.79,20
yolo11n_botsort,immotile,36.6,40.46,0.197,0.4063,-36.6,20
yolo11n_bytetrack,progressive,10.14,12.3,0.721,0.0003,5.67,20
yolo11n_bytetrack,non_progressive,26.36,29.35,-0.206,0.3829,24.32,20
yolo11n_bytetrack,immotile,29.99,33.59,0.557,0.0108,-29.99,20
yolov8l_botsort,progressive,15.36,18.5,0.573,0.0082,13.18,20
yolov8l_botsort,non_progressive,26.83,31.09,-0.479,0.0327,23.4,20
yolov8l_botsort,immotile,36.59,40.6,0.158,0.5052,-36.59,20
yolov8l_bytetrack,progressive,11.12,14.76,0.666,0.0013,8.26,20
yolov8l_bytetrack,non_progressive,28.56,32.09,-0.567,0.0091,25.54,20
yolov8l_bytetrack,immotile,33.81,37.18,0.464,0.0395,-33.81,20
yolov8n_botsort,progressive,15.48,18.66,0.46,0.0414,11.9,20
yolov8n_botsort,non_progressive,24.54,28.51,-0.308,0.1858,22.2,20
yolov8n_botsort,immotile,34.11,37.52,0.454,0.0443,-34.11,20
yolov8n_bytetrack,progressive,9.84,12.41,0.675,0.0011,3.14,20
yolov8n_bytetrack,non_progressive,24.89,28.44,-0.234,0.3199,22.65,20
yolov8n_bytetrack,immotile,25.8,30.21,0.521,0.0185,-25.8,20
yolov9t_botsort,progressive,14.08,17.92,0.482,0.0314,11.1,20
yolov9t_botsort,non_progressive,26.09,30.27,-0.388,0.0908,22.46,20
yolov9t_botsort,immotile,35.16,38.93,0.016,0.9479,-33.56,20
yolov9t_bytetrack,progressive,7.78,10.15,0.799,0.0,3.7,20
yolov9t_bytetrack,non_progressive,27.04,30.81,-0.323,0.1651,23.64,20
yolov9t_bytetrack,immotile,29.29,32.58,0.369,0.1094,-27.33,20
