track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
1,1470,29.38,1.2,0.7,1.19,0.578,0.586,0.987,0.0,0.61,immotile
2,1470,29.38,0.62,0.34,0.61,0.552,0.564,0.979,0.0,1.53,immotile
3,1470,29.38,0.53,0.43,0.52,0.819,0.824,0.994,0.0,2.48,immotile
4,1470,29.38,0.94,0.87,0.92,0.927,0.944,0.982,0.0,3.57,immotile
5,220,4.38,103.78,36.13,78.92,0.348,0.458,0.76,0.78,16.67,non_progressive
6,1470,29.38,0.47,0.45,0.47,0.974,0.977,0.997,0.0,0.51,immotile
7,1470,29.38,1.05,0.86,1.04,0.825,0.828,0.997,0.0,2.72,immotile
8,1470,29.38,9.06,1.05,8.98,0.115,0.116,0.991,0.0,2.14,non_progressive
9,153,3.04,90.66,73.02,79.33,0.805,0.92,0.875,0.38,18.42,progressive
10,1470,29.38,0.25,0.12,0.25,0.473,0.477,0.993,0.0,0.31,immotile
11,1470,29.38,1.3,1.0,1.29,0.767,0.771,0.995,0.0,2.28,immotile
12,1470,29.38,28.89,1.14,26.74,0.039,0.043,0.925,0.08,3.4,non_progressive
13,104,2.06,65.45,30.04,54.68,0.459,0.549,0.835,0.36,10.19,progressive
14,1470,29.38,8.77,5.26,8.36,0.6,0.629,0.954,0.01,2.38,non_progressive
15,1470,29.38,0.63,0.26,0.63,0.408,0.411,0.993,0.0,0.54,immotile
16,1470,29.38,2.04,1.33,2.01,0.651,0.66,0.985,0.0,0.95,immotile
17,1470,29.38,0.89,0.71,0.88,0.805,0.81,0.995,0.0,0.71,immotile
18,389,7.76,70.64,35.13,66.17,0.497,0.531,0.937,0.17,6.96,progressive
19,1470,29.38,0.41,0.24,0.41,0.578,0.583,0.992,0.0,1.26,immotile
20,1470,29.38,0.49,0.43,0.49,0.871,0.874,0.997,0.0,0.65,immotile
21,1470,29.38,0.58,0.53,0.58,0.911,0.914,0.996,0.0,0.37,immotile
22,1470,29.38,0.95,0.79,0.94,0.836,0.843,0.992,0.0,0.92,immotile
23,1470,29.38,0.49,0.44,0.49,0.895,0.897,0.998,0.0,0.44,immotile
24,1470,29.38,0.79,0.37,0.79,0.474,0.477,0.995,0.0,3.44,immotile
25,1470,29.38,0.35,0.33,0.35,0.961,0.963,0.998,0.0,0.03,immotile
26,1470,29.38,0.23,0.21,0.23,0.944,0.945,0.998,0.0,0.34,immotile
27,1470,29.38,0.56,0.34,0.56,0.609,0.612,0.996,0.0,0.75,immotile
28,1470,29.38,0.83,0.45,0.83,0.542,0.546,0.993,0.0,0.34,immotile
29,167,3.3200000000000003,69.97,65.33,67.06,0.934,0.974,0.958,0.12,6.93,progressive
30,1470,29.38,0.88,0.53,0.88,0.597,0.602,0.992,0.0,1.43,immotile
31,1470,29.38,1.07,0.65,1.06,0.607,0.611,0.993,0.0,0.54,immotile
32,1470,29.38,1.25,1.02,1.24,0.817,0.82,0.996,0.0,0.99,immotile
33,1470,29.38,0.12,0.02,0.12,0.2,0.201,0.995,0.0,0.27,immotile
34,1470,29.38,0.07,0.07,0.07,1.0,1.001,0.999,0.0,1.12,immotile
35,1470,29.38,0.84,0.66,0.84,0.787,0.79,0.996,0.0,1.29,immotile
36,1470,29.38,0.64,0.51,0.64,0.789,0.792,0.996,0.0,0.37,immotile
