track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
1,193,3.84,45.16,5.6,20.08,0.124,0.279,0.445,0.71,22.4,non_progressive
2,213,4.24,66.33,20.18,37.44,0.304,0.539,0.564,1.1,23.82,progressive
4,183,3.64,58.95,27.97,20.15,0.474,1.388,0.342,0.77,21.43,progressive
7,182,3.62,14.0,0.51,3.74,0.036,0.136,0.267,0.19,23.48,non_progressive
9,81,1.6,65.61,8.0,26.53,0.122,0.302,0.404,1.04,17.5,non_progressive
11,162,3.22,50.4,12.88,27.7,0.256,0.465,0.55,0.67,21.12,non_progressive
14,177,3.52,36.05,2.01,11.43,0.056,0.176,0.317,0.52,22.16,non_progressive
17,21,0.4,18.06,5.84,4.97,0.323,1.175,0.275,0.25,30.0,non_progressive
22,184,3.66,33.81,7.76,9.92,0.23,0.783,0.293,0.46,20.22,progressive
23,166,3.3000000000000003,17.11,3.11,9.85,0.182,0.316,0.576,0.23,21.52,non_progressive
24,104,2.06,65.34,7.86,49.24,0.12,0.16,0.754,0.65,15.53,non_progressive
27,28,0.54,166.95,111.31,143.3,0.667,0.777,0.858,3.69,14.81,progressive
28,30,0.58,61.41,29.25,32.51,0.476,0.9,0.529,1.09,18.97,progressive
29,181,3.6,46.73,2.47,14.44,0.053,0.171,0.309,0.68,21.39,non_progressive
31,18,0.34,61.49,35.9,20.41,0.584,1.759,0.332,1.21,17.65,progressive
33,161,3.2,47.2,22.4,30.31,0.475,0.739,0.642,0.75,20.62,progressive
36,178,3.54,58.74,1.97,17.68,0.034,0.112,0.301,0.9,16.95,non_progressive
38,18,0.34,66.57,43.36,22.83,0.651,1.899,0.343,1.36,20.59,progressive
49,18,0.34,43.99,30.8,15.18,0.7,2.028,0.345,0.92,23.53,progressive
53,20,0.38,33.59,11.3,11.22,0.336,1.007,0.334,0.53,18.42,progressive
54,30,0.58,115.49,76.99,93.0,0.667,0.828,0.805,2.49,22.41,progressive
59,180,3.58,36.57,1.79,11.65,0.049,0.153,0.319,0.54,20.11,non_progressive
60,19,0.36,80.04,13.66,29.17,0.171,0.468,0.364,1.08,22.22,non_progressive
61,20,0.38,88.83,35.44,31.36,0.399,1.13,0.353,1.19,18.42,progressive
63,172,3.42,52.81,2.0,18.13,0.038,0.11,0.343,0.77,21.35,non_progressive
64,18,0.34,76.2,23.33,48.69,0.306,0.479,0.639,1.34,17.65,non_progressive
69,157,3.12,14.13,1.1,5.34,0.078,0.206,0.378,0.2,22.76,non_progressive
72,161,3.2,10.33,4.87,6.29,0.472,0.774,0.609,0.16,22.19,non_progressive
74,19,0.36,27.02,8.81,8.07,0.326,1.091,0.299,0.44,19.44,progressive
76,19,0.36,19.15,2.76,4.41,0.144,0.625,0.23,0.26,30.56,non_progressive
88,16,0.3,36.75,1.09,8.23,0.03,0.133,0.224,0.53,26.67,non_progressive
107,169,3.36,25.32,16.12,20.78,0.637,0.776,0.821,0.46,26.19,progressive
108,159,3.16,5.45,1.99,2.89,0.366,0.69,0.53,0.07,19.94,non_progressive
109,158,3.14,13.49,5.87,5.98,0.435,0.981,0.444,0.16,23.89,non_progressive
110,54,1.06,87.09,40.72,64.3,0.468,0.633,0.738,0.89,18.87,progressive
111,160,3.18,4.81,0.31,1.98,0.064,0.155,0.411,0.06,23.9,immotile
112,168,3.34,77.24,59.38,53.81,0.769,1.103,0.697,1.09,22.75,progressive
113,167,3.3200000000000003,22.18,6.5,15.46,0.293,0.421,0.697,0.39,23.19,non_progressive
114,154,3.06,32.24,2.75,18.82,0.085,0.146,0.584,0.4,20.92,non_progressive
115,158,3.14,47.5,7.03,42.51,0.148,0.165,0.895,0.29,13.38,non_progressive
116,160,3.18,52.89,22.07,25.67,0.417,0.86,0.485,0.67,23.9,progressive
117,160,3.18,15.13,2.16,11.02,0.143,0.196,0.728,0.16,18.24,non_progressive
118,168,3.34,60.37,38.64,49.77,0.64,0.776,0.824,1.1,22.16,progressive
119,160,3.18,7.64,1.43,3.49,0.188,0.41,0.457,0.1,24.53,non_progressive
120,159,3.16,6.54,1.5,3.17,0.23,0.474,0.485,0.08,23.1,non_progressive
122,127,2.52,65.01,23.37,52.48,0.36,0.445,0.807,0.66,13.89,non_progressive
123,155,3.08,20.16,6.35,14.41,0.315,0.44,0.715,0.22,21.1,non_progressive
125,154,3.06,13.06,6.85,5.41,0.524,1.267,0.414,0.16,20.26,non_progressive
126,166,3.3000000000000003,13.66,5.58,8.67,0.409,0.644,0.635,0.25,25.15,non_progressive
129,17,0.32,72.91,20.89,40.63,0.287,0.514,0.557,0.99,21.88,progressive
130,144,2.86,28.9,2.81,12.51,0.097,0.224,0.433,0.42,21.68,non_progressive
131,17,0.32,5.36,3.77,2.88,0.703,1.306,0.539,0.08,18.75,non_progressive
175,150,2.98,146.54,81.64,91.65,0.557,0.891,0.625,1.66,14.09,progressive
225,150,2.98,57.8,26.91,36.78,0.466,0.732,0.636,0.67,23.83,progressive
233,31,0.6,58.2,10.47,48.13,0.18,0.218,0.827,0.57,11.67,non_progressive
354,74,1.46,6.35,0.49,2.35,0.078,0.21,0.37,0.09,20.55,non_progressive
396,92,1.82,21.1,3.03,13.07,0.144,0.232,0.619,0.28,22.53,non_progressive
454,81,1.6,106.65,65.79,79.72,0.617,0.825,0.747,0.95,20.0,progressive
457,107,2.12,5.71,1.2,2.62,0.21,0.458,0.459,0.07,22.17,non_progressive
724,18,0.34,163.23,143.35,146.94,0.878,0.976,0.9,3.05,17.65,progressive
759,52,1.02,43.64,11.12,33.83,0.255,0.329,0.775,0.39,21.57,non_progressive
861,39,0.76,67.35,51.67,53.7,0.767,0.962,0.797,0.58,18.42,progressive
868,18,0.34,28.83,0.72,8.26,0.025,0.087,0.287,0.41,20.59,non_progressive
884,19,0.36,66.58,40.21,50.95,0.604,0.789,0.765,0.76,16.67,progressive
892,31,0.6,86.7,54.88,38.09,0.633,1.441,0.439,1.0,18.33,progressive
896,28,0.54,12.12,1.38,3.72,0.114,0.372,0.307,0.15,20.37,non_progressive
941,24,0.46,107.16,64.8,77.17,0.605,0.84,0.72,1.04,23.91,progressive
1004,17,0.32,8.56,2.05,3.0,0.24,0.685,0.35,0.1,18.75,non_progressive
1008,17,0.32,25.89,2.09,8.2,0.081,0.255,0.317,0.35,28.12,non_progressive
1141,19,0.36,142.61,119.58,55.47,0.838,2.156,0.389,1.73,22.22,progressive
1142,18,0.34,15.33,2.27,5.51,0.148,0.411,0.359,0.2,23.53,non_progressive
1144,18,0.34,123.96,113.18,117.02,0.913,0.967,0.944,2.84,14.71,progressive
1242,78,1.54,66.71,41.35,50.17,0.62,0.824,0.752,1.28,16.88,progressive
1244,26,0.5,91.95,50.96,63.12,0.554,0.807,0.687,1.62,16.0,progressive
1329,19,0.36,76.29,57.36,61.98,0.752,0.925,0.812,1.62,16.67,progressive
1411,19,0.36,6.34,2.32,3.08,0.367,0.755,0.485,0.08,27.78,non_progressive
1503,19,0.36,22.38,2.72,7.16,0.122,0.38,0.32,0.31,16.67,non_progressive
1511,19,0.36,14.45,1.63,5.48,0.113,0.298,0.379,0.18,22.22,non_progressive
1513,19,0.36,82.85,45.97,57.82,0.555,0.795,0.698,0.9,13.89,progressive
1727,21,0.4,42.63,1.97,10.27,0.046,0.192,0.241,0.65,27.5,non_progressive
1761,29,0.56,3.87,0.36,1.66,0.093,0.217,0.429,0.05,28.57,immotile
1763,28,0.54,18.01,3.11,6.7,0.172,0.463,0.372,0.24,22.22,non_progressive
1764,30,0.58,90.34,85.02,36.18,0.941,2.35,0.4,1.09,20.69,progressive
1765,29,0.56,12.16,0.74,3.64,0.061,0.203,0.3,0.18,25.0,non_progressive
1766,19,0.36,5.94,0.9,2.5,0.151,0.359,0.42,0.07,16.67,non_progressive
1767,30,0.58,128.34,109.18,61.92,0.851,1.763,0.482,1.56,17.24,progressive
1768,19,0.36,4.85,1.18,1.83,0.243,0.645,0.377,0.07,22.22,immotile
1769,19,0.36,6.11,1.11,2.39,0.182,0.465,0.391,0.09,25.0,non_progressive
1770,29,0.56,8.02,1.12,3.33,0.139,0.336,0.415,0.11,17.86,non_progressive
1771,19,0.36,108.49,42.05,70.34,0.388,0.598,0.648,1.24,16.67,progressive
1775,19,0.36,11.34,2.81,7.27,0.247,0.386,0.641,0.13,16.67,non_progressive
