track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
2,1459,29.16,11.75,0.03,4.72,0.003,0.007,0.402,0.16,22.81,non_progressive
4,474,9.46,5.83,0.88,3.04,0.15,0.288,0.522,0.08,21.67,non_progressive
5,1381,27.6,13.52,0.02,4.83,0.002,0.005,0.357,0.19,22.57,non_progressive
7,923,18.44,15.71,0.92,5.36,0.059,0.172,0.341,0.23,21.26,non_progressive
8,200,3.98,18.21,0.9,6.53,0.049,0.137,0.358,0.24,25.13,non_progressive
9,1469,29.36,3.44,0.02,1.33,0.005,0.013,0.387,0.05,22.92,immotile
10,1014,20.26,12.51,0.2,4.56,0.016,0.043,0.364,0.19,20.38,non_progressive
12,477,9.52,14.03,1.85,5.93,0.132,0.312,0.422,0.21,21.85,non_progressive
14,479,9.56,34.0,1.37,12.44,0.04,0.11,0.366,0.52,19.56,non_progressive
15,420,8.38,4.74,0.29,1.94,0.061,0.148,0.409,0.06,21.96,immotile
16,1465,29.28,6.46,0.04,2.26,0.005,0.015,0.35,0.09,20.29,non_progressive
17,986,19.7,12.33,0.51,4.79,0.041,0.106,0.389,0.18,21.17,non_progressive
18,120,2.38,8.97,0.38,3.19,0.043,0.12,0.356,0.13,20.17,non_progressive
19,506,10.1,22.85,0.93,7.99,0.041,0.116,0.349,0.35,18.91,non_progressive
20,1443,28.84,14.74,0.06,5.17,0.004,0.012,0.351,0.21,20.91,non_progressive
21,197,3.92,31.87,6.94,15.82,0.218,0.439,0.496,0.46,21.17,non_progressive
23,1414,28.26,17.18,0.88,6.2,0.051,0.142,0.361,0.26,19.25,non_progressive
24,1453,29.04,7.13,0.17,2.89,0.024,0.06,0.405,0.1,21.97,non_progressive
25,469,9.36,3.62,1.58,2.6,0.437,0.609,0.717,0.05,23.18,immotile
26,1461,29.2,18.38,0.12,6.32,0.007,0.02,0.344,0.27,18.77,non_progressive
28,368,7.34,60.3,25.96,42.35,0.431,0.613,0.702,0.64,17.57,progressive
29,234,4.66,11.28,1.62,6.13,0.144,0.265,0.543,0.13,20.17,non_progressive
30,626,12.5,42.32,20.96,27.51,0.495,0.762,0.65,0.47,18.72,progressive
31,482,9.620000000000001,13.68,1.13,5.56,0.083,0.204,0.406,0.2,22.66,non_progressive
33,306,6.1000000000000005,20.31,1.31,8.73,0.065,0.15,0.43,0.3,20.82,non_progressive
34,473,9.44,5.09,1.34,2.81,0.263,0.476,0.552,0.07,22.67,non_progressive
35,1373,27.44,19.4,0.35,7.3,0.018,0.048,0.376,0.28,20.08,non_progressive
36,912,18.22,12.8,0.66,4.81,0.051,0.137,0.376,0.19,21.46,non_progressive
38,488,9.74,10.43,1.94,4.8,0.186,0.405,0.46,0.14,21.66,non_progressive
39,506,10.1,17.16,1.47,6.84,0.086,0.215,0.398,0.25,23.66,non_progressive
42,964,19.26,17.79,0.8,7.53,0.045,0.107,0.423,0.26,21.6,non_progressive
43,358,7.140000000000001,18.38,1.31,8.08,0.071,0.163,0.439,0.27,23.81,non_progressive
44,470,9.38,4.98,1.64,3.34,0.33,0.491,0.671,0.07,21.96,immotile
48,1397,27.92,11.34,0.11,4.05,0.01,0.027,0.357,0.17,22.28,non_progressive
49,127,2.52,67.93,45.9,50.68,0.676,0.906,0.746,0.66,19.44,progressive
55,104,2.06,93.83,39.7,76.48,0.423,0.519,0.815,0.84,19.9,progressive
65,1470,29.38,4.75,0.01,1.76,0.002,0.005,0.37,0.06,24.13,immotile
66,225,4.48,5.49,0.87,2.72,0.159,0.321,0.496,0.08,22.1,non_progressive
