track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
1,17,0.32,63.36,50.21,48.54,0.792,1.034,0.766,0.68,18.75,progressive
2,497,9.92,16.34,0.05,5.28,0.003,0.009,0.323,0.23,23.79,non_progressive
4,474,9.46,23.85,0.82,8.57,0.034,0.096,0.359,0.37,22.09,non_progressive
7,52,1.02,23.59,4.2,9.07,0.178,0.463,0.385,0.31,22.55,non_progressive
14,514,10.26,42.11,1.37,14.42,0.033,0.095,0.342,0.65,18.91,non_progressive
21,497,9.92,12.66,0.09,3.73,0.007,0.025,0.295,0.18,24.19,non_progressive
24,222,4.42,79.25,24.37,65.31,0.307,0.373,0.824,0.91,12.67,non_progressive
28,52,1.02,24.27,3.21,7.77,0.132,0.413,0.32,0.35,23.53,non_progressive
30,497,9.92,16.21,0.13,4.57,0.008,0.029,0.282,0.24,23.29,non_progressive
32,54,1.06,49.82,16.58,19.93,0.333,0.832,0.4,0.67,24.53,progressive
33,52,1.02,34.36,4.69,11.16,0.136,0.42,0.325,0.48,20.59,non_progressive
35,62,1.22,40.92,22.64,29.07,0.553,0.779,0.71,0.71,18.03,progressive
37,107,2.12,11.63,0.55,6.55,0.047,0.084,0.563,0.17,24.53,non_progressive
40,581,11.6,26.57,3.31,14.3,0.125,0.231,0.538,0.37,23.28,non_progressive
43,484,9.66,14.72,0.12,3.99,0.008,0.029,0.271,0.22,23.29,non_progressive
48,429,8.56,19.8,0.41,7.66,0.021,0.054,0.387,0.3,22.43,non_progressive
87,1265,25.28,22.13,3.25,12.74,0.147,0.255,0.576,0.32,18.99,non_progressive
88,172,3.42,57.91,7.33,41.27,0.127,0.178,0.713,0.59,14.91,non_progressive
89,438,8.74,42.11,23.22,33.0,0.551,0.704,0.784,0.43,20.37,progressive
90,444,8.86,6.92,0.43,3.63,0.062,0.118,0.525,0.09,22.01,non_progressive
91,369,7.36,18.93,5.22,13.6,0.276,0.384,0.719,0.19,20.52,non_progressive
92,299,5.96,42.45,16.06,31.61,0.378,0.508,0.745,0.43,13.76,progressive
93,438,8.74,22.41,4.08,12.52,0.182,0.326,0.559,0.27,19.91,non_progressive
94,443,8.84,46.97,22.69,28.2,0.483,0.805,0.6,0.61,20.59,progressive
95,444,8.86,7.9,1.36,4.03,0.173,0.339,0.51,0.1,23.93,non_progressive
96,444,8.86,5.06,0.87,2.12,0.172,0.41,0.418,0.07,22.12,non_progressive
98,410,8.18,7.09,1.73,3.9,0.244,0.444,0.55,0.09,23.11,non_progressive
99,444,8.86,7.19,1.69,3.5,0.235,0.482,0.487,0.09,23.25,non_progressive
100,233,4.64,89.32,31.05,64.11,0.348,0.484,0.718,0.92,13.58,non_progressive
101,445,8.88,5.62,0.16,2.01,0.028,0.079,0.357,0.08,22.86,non_progressive
102,444,8.86,6.35,3.29,4.18,0.519,0.787,0.659,0.07,22.35,non_progressive
104,444,8.86,9.33,1.53,4.76,0.164,0.322,0.51,0.12,21.11,non_progressive
105,119,2.36,38.95,26.47,33.51,0.68,0.79,0.86,0.34,19.07,progressive
106,181,3.6,35.8,3.05,14.27,0.085,0.213,0.399,0.47,23.06,non_progressive
107,444,8.86,5.6,1.74,2.76,0.311,0.63,0.493,0.07,23.7,non_progressive
108,445,8.88,10.18,6.53,6.6,0.641,0.988,0.649,0.11,21.17,non_progressive
109,447,8.92,10.61,1.42,6.02,0.134,0.235,0.568,0.13,21.97,non_progressive
110,444,8.86,8.51,1.35,4.67,0.159,0.289,0.549,0.11,22.23,non_progressive
111,220,4.38,5.4,1.23,2.68,0.229,0.46,0.497,0.07,23.74,non_progressive
113,419,8.36,7.98,1.89,4.5,0.237,0.42,0.563,0.1,21.29,non_progressive
114,200,3.98,19.98,4.13,10.79,0.207,0.383,0.54,0.26,21.36,non_progressive
115,24,0.46,53.46,15.34,24.32,0.287,0.631,0.455,0.62,30.43,progressive
168,145,2.88,24.53,1.31,8.78,0.053,0.149,0.358,0.34,23.96,non_progressive
