track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
1,749,14.96,8.72,0.07,3.25,0.009,0.023,0.373,0.12,24.26,non_progressive
3,749,14.96,8.46,0.02,2.93,0.003,0.008,0.347,0.12,23.73,non_progressive
6,747,14.92,5.19,0.01,1.89,0.001,0.003,0.365,0.07,21.92,non_progressive
11,469,9.36,51.27,9.52,47.32,0.186,0.201,0.923,0.36,23.72,non_progressive
12,469,9.36,3.01,0.06,1.3,0.02,0.047,0.431,0.04,21.9,immotile
13,468,9.34,79.31,8.59,74.49,0.108,0.115,0.939,0.46,25.8,non_progressive
15,163,3.24,62.97,24.47,36.99,0.389,0.662,0.587,0.81,22.22,progressive
193,332,6.62,83.25,11.54,62.06,0.139,0.186,0.745,0.9,22.21,non_progressive
194,62,1.22,116.33,60.46,85.96,0.52,0.703,0.739,1.18,23.77,progressive
195,656,13.1,5.06,0.02,2.02,0.003,0.007,0.4,0.07,22.82,non_progressive
231,47,0.92,117.76,56.89,70.18,0.483,0.811,0.596,1.52,18.48,progressive
236,129,2.56,105.09,19.03,81.05,0.181,0.235,0.771,1.07,26.56,non_progressive
254,28,0.54,125.4,69.01,73.97,0.55,0.933,0.59,1.6,20.37,progressive
265,101,2.0,122.47,10.01,74.34,0.082,0.135,0.607,1.54,21.5,non_progressive
288,405,8.08,101.78,6.86,80.25,0.067,0.085,0.788,1.03,26.24,non_progressive
345,127,2.52,94.19,24.66,71.59,0.262,0.344,0.76,0.97,21.03,non_progressive
355,30,0.58,130.35,71.53,78.27,0.549,0.914,0.6,1.55,17.24,progressive
364,27,0.52,145.17,90.14,86.4,0.621,1.043,0.595,1.62,21.15,progressive
385,76,1.5,117.9,58.11,76.54,0.493,0.759,0.649,1.44,19.33,progressive
393,140,2.7800000000000002,90.17,36.73,67.91,0.407,0.541,0.753,0.94,20.14,progressive
452,249,4.96,53.57,7.3,48.97,0.136,0.149,0.914,0.38,23.19,non_progressive
453,249,4.96,80.42,6.21,75.19,0.077,0.083,0.935,0.46,26.21,non_progressive
454,249,4.96,3.43,0.09,1.44,0.026,0.062,0.42,0.05,24.8,immotile
462,148,2.94,2.86,0.47,1.39,0.164,0.335,0.488,0.04,23.81,immotile
467,184,3.66,9.59,2.2,5.08,0.229,0.432,0.53,0.13,22.13,non_progressive
