track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
10,43,0.84,24.84,8.15,10.93,0.328,0.746,0.44,0.43,21.43,non_progressive
11,20,0.38,145.98,95.2,100.54,0.652,0.947,0.689,1.87,18.42,progressive
83,21,0.4,80.95,23.46,22.37,0.29,1.048,0.276,1.12,22.5,progressive
84,17,0.32,18.07,1.73,6.25,0.096,0.276,0.346,0.22,25.0,non_progressive
85,38,0.74,37.92,2.61,10.89,0.069,0.24,0.287,0.5,22.97,non_progressive
88,19,0.36,16.45,1.52,5.34,0.092,0.284,0.325,0.2,16.67,non_progressive
91,19,0.36,110.71,76.2,78.08,0.688,0.976,0.705,1.1,19.44,progressive
93,20,0.38,120.77,30.94,60.64,0.256,0.51,0.502,1.39,18.42,progressive
96,29,0.56,54.12,40.08,43.26,0.741,0.926,0.799,0.59,16.07,progressive
99,20,0.38,146.78,104.05,100.02,0.709,1.04,0.681,1.4,15.79,progressive
100,19,0.36,13.13,0.68,3.73,0.052,0.183,0.284,0.18,19.44,non_progressive
103,19,0.36,72.47,53.03,52.86,0.732,1.003,0.729,0.67,13.89,progressive
181,19,0.36,92.15,25.28,62.93,0.274,0.402,0.683,1.17,19.44,non_progressive
219,20,0.38,78.17,66.7,63.27,0.853,1.054,0.809,0.77,18.42,progressive
271,65,1.28,57.83,1.88,14.08,0.032,0.133,0.243,0.86,22.66,non_progressive
272,18,0.34,119.93,75.61,83.8,0.63,0.902,0.699,1.27,17.65,progressive
273,28,0.54,27.72,3.39,9.97,0.122,0.34,0.36,0.36,27.78,non_progressive
274,20,0.38,89.58,39.31,34.82,0.439,1.129,0.389,0.97,21.05,progressive
290,19,0.36,22.81,2.8,8.51,0.123,0.329,0.373,0.29,25.0,non_progressive
297,17,0.32,75.36,68.75,64.09,0.912,1.073,0.85,0.55,28.12,progressive
348,20,0.38,110.09,87.4,93.59,0.794,0.934,0.85,1.18,13.16,progressive
473,47,0.92,56.55,2.23,17.6,0.039,0.127,0.311,0.73,21.74,non_progressive
541,19,0.36,10.01,3.04,5.38,0.304,0.564,0.538,0.13,19.44,non_progressive
542,32,0.62,19.94,3.27,5.21,0.164,0.627,0.262,0.28,22.58,non_progressive
545,19,0.36,63.46,7.47,50.67,0.118,0.147,0.799,0.57,16.67,non_progressive
548,18,0.34,61.26,53.88,48.64,0.88,1.108,0.794,0.62,23.53,progressive
645,19,0.36,30.22,14.21,16.15,0.47,0.88,0.534,0.45,16.67,progressive
700,17,0.32,66.98,2.56,15.37,0.038,0.167,0.229,1.02,21.88,non_progressive
961,24,0.46,107.51,2.29,44.75,0.021,0.051,0.416,1.64,23.91,non_progressive
1017,19,0.36,100.01,66.31,70.85,0.663,0.936,0.708,1.04,25.0,progressive
1018,17,0.32,75.27,70.42,64.86,0.936,1.086,0.862,0.54,15.62,progressive
1020,29,0.56,40.48,23.51,24.8,0.581,0.948,0.613,0.54,17.86,progressive
1125,19,0.36,87.51,79.73,80.58,0.911,0.989,0.921,1.58,19.44,progressive
1182,55,1.08,114.57,12.57,31.22,0.11,0.402,0.273,1.93,24.07,non_progressive
1185,16,0.3,173.23,108.21,120.7,0.625,0.896,0.697,3.11,20.0,progressive
1222,16,0.3,87.18,52.6,63.64,0.603,0.826,0.73,0.95,20.0,progressive
1288,39,0.76,52.02,2.52,14.15,0.048,0.178,0.272,0.68,26.32,non_progressive
1289,16,0.3,75.32,30.81,50.35,0.409,0.612,0.669,0.9,20.0,progressive
1292,28,0.54,128.95,97.14,74.86,0.753,1.298,0.581,1.56,16.67,progressive
1339,16,0.3,70.77,67.54,61.82,0.954,1.093,0.874,0.45,30.0,progressive
1402,22,0.42,33.86,9.13,15.63,0.27,0.584,0.462,0.38,23.81,progressive
1506,27,0.52,77.53,53.8,70.05,0.694,0.768,0.904,1.4,21.15,progressive
1763,19,0.36,66.37,63.22,60.42,0.953,1.046,0.91,0.96,19.44,progressive
1764,29,0.56,39.39,1.2,13.29,0.03,0.09,0.337,0.58,21.43,non_progressive
1870,19,0.36,36.82,9.2,15.11,0.25,0.609,0.41,0.48,25.0,progressive
2006,23,0.44,56.33,33.08,38.85,0.587,0.851,0.69,0.68,18.18,progressive
2009,23,0.44,87.04,35.16,54.87,0.404,0.641,0.63,1.21,25.0,progressive
2010,19,0.36,102.52,39.55,70.83,0.386,0.558,0.691,1.09,13.89,progressive
2014,17,0.32,115.65,110.57,105.11,0.956,1.052,0.909,1.49,25.0,progressive
2424,19,0.36,49.99,36.67,39.29,0.733,0.933,0.786,0.44,19.44,progressive
2428,19,0.36,16.47,2.73,4.95,0.166,0.551,0.301,0.2,25.0,non_progressive
2429,19,0.36,23.67,18.04,18.4,0.762,0.98,0.777,0.2,25.0,non_progressive
2431,18,0.34,54.76,46.29,43.35,0.845,1.068,0.792,0.53,23.53,progressive
2432,49,0.96,43.25,1.16,14.76,0.027,0.079,0.341,0.57,23.96,non_progressive
2434,19,0.36,64.31,45.26,50.28,0.704,0.9,0.782,0.48,25.0,progressive
