track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
8,47,0.92,26.1,1.77,9.26,0.068,0.192,0.355,0.35,25.0,non_progressive
28,469,9.36,4.3,0.36,1.89,0.083,0.189,0.44,0.06,24.15,immotile
29,29,0.56,103.94,57.46,69.68,0.553,0.825,0.67,1.15,16.07,progressive
30,469,9.36,4.12,0.11,1.8,0.026,0.06,0.437,0.05,23.93,immotile
31,469,9.36,4.71,0.77,2.02,0.163,0.379,0.429,0.06,23.4,immotile
32,469,9.36,3.57,0.13,1.53,0.036,0.085,0.427,0.05,23.08,immotile
33,369,7.36,70.22,17.99,58.5,0.256,0.307,0.833,0.56,14.67,non_progressive
34,469,9.36,6.32,0.63,2.8,0.099,0.224,0.443,0.09,22.33,non_progressive
37,180,3.58,31.02,6.77,19.95,0.218,0.339,0.643,0.36,18.72,non_progressive
38,33,0.64,64.12,43.59,49.09,0.68,0.888,0.766,0.6,17.19,progressive
75,26,0.5,74.75,52.49,54.35,0.702,0.966,0.727,0.75,22.0,progressive
86,24,0.46,109.65,70.71,87.62,0.645,0.807,0.799,0.94,8.7,progressive
111,20,0.38,108.88,56.68,79.83,0.521,0.71,0.733,1.11,13.16,progressive
120,50,0.98,88.98,55.78,65.19,0.627,0.856,0.733,0.86,20.41,progressive
134,636,12.700000000000001,12.27,3.67,5.79,0.299,0.634,0.472,0.15,23.62,non_progressive
151,355,7.08,90.66,12.48,69.87,0.138,0.179,0.771,0.87,15.11,non_progressive
405,100,1.98,64.9,20.83,51.46,0.321,0.405,0.793,0.54,15.15,non_progressive
499,591,11.8,64.06,16.79,52.38,0.262,0.32,0.818,0.61,18.14,non_progressive
500,590,11.78,40.95,5.8,35.85,0.142,0.162,0.875,0.35,23.26,non_progressive
501,32,0.62,81.43,4.25,58.08,0.052,0.073,0.713,0.79,19.35,non_progressive
503,130,2.58,8.85,1.85,4.04,0.21,0.459,0.457,0.12,23.64,non_progressive
505,591,11.8,7.73,2.89,4.17,0.374,0.694,0.539,0.09,24.49,non_progressive
506,60,1.18,28.61,18.18,20.17,0.635,0.901,0.705,0.35,25.42,progressive
508,162,3.22,88.7,22.23,71.03,0.251,0.313,0.801,0.84,14.91,non_progressive
578,87,1.72,34.46,3.19,10.25,0.093,0.311,0.297,0.49,23.26,non_progressive
579,87,1.72,34.14,0.84,10.88,0.024,0.077,0.319,0.47,26.16,non_progressive
595,47,0.92,87.99,54.56,68.46,0.62,0.797,0.778,0.91,13.04,progressive
616,47,0.92,51.31,10.66,34.73,0.208,0.307,0.677,0.54,22.83,non_progressive
635,26,0.5,94.15,57.12,81.23,0.607,0.703,0.863,0.82,16.0,progressive
652,359,7.16,9.23,2.13,4.45,0.231,0.479,0.482,0.12,22.63,non_progressive
656,57,1.12,96.89,33.18,78.89,0.342,0.421,0.814,0.86,14.29,non_progressive
665,458,9.14,71.6,7.39,62.77,0.103,0.118,0.877,0.58,17.4,non_progressive
722,120,2.38,91.78,27.01,74.67,0.294,0.362,0.814,0.87,16.39,non_progressive
772,311,6.2,35.92,19.92,26.98,0.554,0.738,0.751,0.38,14.19,progressive
787,158,3.14,43.33,25.66,29.98,0.592,0.856,0.692,0.51,18.15,progressive
807,281,5.6000000000000005,44.26,4.19,32.24,0.095,0.13,0.728,0.48,14.82,non_progressive
1004,80,1.58,32.71,15.04,21.73,0.46,0.692,0.664,0.38,15.19,progressive
1006,214,4.26,83.66,51.01,64.59,0.61,0.79,0.772,0.84,19.95,progressive
1008,259,5.16,2.94,0.03,1.44,0.009,0.018,0.491,0.04,23.45,immotile
1009,259,5.16,4.98,0.46,1.98,0.092,0.231,0.397,0.07,22.87,immotile
1013,117,2.32,18.55,3.26,9.58,0.176,0.34,0.517,0.25,21.12,non_progressive
1014,257,5.12,64.0,20.09,52.43,0.314,0.383,0.819,0.56,14.65,non_progressive
1015,44,0.86,84.87,53.77,65.56,0.634,0.82,0.772,0.79,15.12,progressive
1016,257,5.12,14.53,0.24,5.64,0.017,0.043,0.388,0.2,22.27,non_progressive
1110,135,2.68,8.5,0.95,4.31,0.112,0.221,0.508,0.11,24.63,non_progressive
1121,116,2.3000000000000003,7.36,1.6,3.54,0.217,0.451,0.481,0.1,26.52,non_progressive
1139,37,0.72,48.1,31.25,36.73,0.65,0.851,0.764,0.51,15.28,progressive
1180,50,0.98,94.49,38.62,73.47,0.409,0.526,0.778,0.91,12.24,progressive
1192,21,0.4,79.42,53.25,58.37,0.67,0.912,0.735,0.8,15.0,progressive
