track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
1,102,2.02,61.1,1.5,18.22,0.025,0.083,0.298,0.86,19.31,non_progressive
11,88,1.74,62.1,6.41,19.7,0.103,0.325,0.317,0.97,18.97,non_progressive
15,24,0.46,135.66,54.34,81.08,0.401,0.67,0.598,1.66,15.22,progressive
30,43,0.84,23.11,7.64,9.87,0.331,0.774,0.427,0.39,21.43,non_progressive
81,21,0.4,75.81,23.33,21.67,0.308,1.077,0.286,1.08,25.0,progressive
82,19,0.36,15.23,0.69,5.41,0.045,0.127,0.355,0.2,16.67,non_progressive
83,16,0.3,137.99,93.82,104.28,0.68,0.9,0.756,1.35,13.33,progressive
85,38,0.74,62.3,49.76,51.15,0.799,0.973,0.821,0.49,20.27,progressive
86,19,0.36,37.42,9.17,22.8,0.245,0.402,0.609,0.47,16.67,non_progressive
87,20,0.38,140.54,100.54,96.24,0.715,1.045,0.685,1.33,15.79,progressive
88,19,0.36,12.35,1.19,4.38,0.096,0.271,0.355,0.16,19.44,non_progressive
89,19,0.36,71.51,54.99,53.65,0.769,1.025,0.75,0.65,19.44,progressive
90,28,0.54,110.54,68.83,89.39,0.623,0.77,0.809,1.02,9.26,progressive
92,29,0.56,97.02,42.67,66.06,0.44,0.646,0.681,1.28,23.21,progressive
93,28,0.54,53.0,41.58,44.44,0.785,0.936,0.838,0.62,16.67,progressive
98,17,0.32,133.12,48.11,90.76,0.361,0.53,0.682,1.24,21.88,progressive
99,19,0.36,10.96,0.88,3.19,0.08,0.275,0.291,0.14,22.22,non_progressive
104,20,0.38,78.0,37.43,58.97,0.48,0.635,0.756,1.17,26.32,progressive
137,30,0.58,108.75,14.29,56.59,0.131,0.253,0.52,1.22,22.41,non_progressive
186,29,0.56,150.09,37.96,94.65,0.253,0.401,0.631,1.82,16.07,non_progressive
187,29,0.56,23.77,1.0,10.05,0.042,0.1,0.423,0.29,21.43,non_progressive
188,20,0.38,88.15,37.66,34.31,0.427,1.098,0.389,0.94,15.79,progressive
189,16,0.3,107.87,70.83,73.95,0.657,0.958,0.686,1.22,20.0,progressive
192,19,0.36,105.75,70.44,76.67,0.666,0.919,0.725,1.02,22.22,progressive
193,19,0.36,69.14,63.97,59.46,0.925,1.076,0.86,0.46,25.0,progressive
197,27,0.52,152.63,69.51,99.22,0.455,0.701,0.65,1.96,15.38,progressive
205,18,0.34,123.62,81.82,87.78,0.662,0.932,0.71,1.16,11.76,progressive
212,17,0.32,112.28,78.21,88.66,0.697,0.882,0.79,1.05,9.38,progressive
261,33,0.64,198.16,159.42,176.45,0.805,0.903,0.89,3.75,18.75,progressive
338,23,0.44,108.27,78.93,85.5,0.729,0.923,0.79,0.92,18.18,progressive
371,32,0.62,19.49,3.33,5.18,0.171,0.642,0.266,0.28,27.42,non_progressive
373,29,0.56,65.32,19.86,51.2,0.304,0.388,0.784,0.76,8.93,non_progressive
374,19,0.36,6.44,3.05,2.68,0.473,1.138,0.416,0.08,30.56,non_progressive
375,19,0.36,55.19,51.29,46.22,0.929,1.11,0.838,0.39,22.22,progressive
377,19,0.36,123.15,39.15,80.93,0.318,0.484,0.657,1.16,16.67,non_progressive
386,18,0.34,95.86,52.29,74.16,0.545,0.705,0.774,1.03,17.65,progressive
434,19,0.36,28.3,15.06,15.38,0.532,0.979,0.544,0.39,16.67,progressive
441,18,0.34,101.56,62.22,68.39,0.613,0.91,0.673,1.17,14.71,progressive
629,33,0.64,165.92,77.09,97.16,0.465,0.793,0.586,2.74,18.75,progressive
710,18,0.34,72.88,65.85,62.07,0.904,1.061,0.852,0.61,20.59,progressive
714,19,0.36,94.17,63.52,67.23,0.675,0.945,0.714,0.95,25.0,progressive
775,24,0.46,188.99,129.13,153.53,0.683,0.841,0.812,2.84,21.74,progressive
779,57,1.12,127.84,29.48,37.58,0.231,0.784,0.294,2.28,21.43,progressive
783,19,0.36,88.12,82.13,82.04,0.932,1.001,0.931,1.62,19.44,progressive
840,19,0.36,145.24,134.63,136.55,0.927,0.986,0.94,2.11,22.22,progressive
842,20,0.38,102.09,90.56,92.15,0.887,0.983,0.903,1.52,15.79,progressive
847,23,0.44,102.86,49.06,75.43,0.477,0.65,0.733,1.37,15.91,progressive
851,18,0.34,94.02,65.85,68.03,0.7,0.968,0.724,0.95,17.65,progressive
871,43,0.84,102.15,66.69,80.08,0.653,0.833,0.784,1.59,17.86,progressive
878,44,0.86,44.31,1.43,13.87,0.032,0.103,0.313,0.61,17.44,non_progressive
879,31,0.6,38.35,17.94,26.46,0.468,0.678,0.69,0.43,25.0,progressive
907,19,0.36,34.57,7.25,23.52,0.21,0.308,0.68,0.36,13.89,non_progressive
908,18,0.34,73.69,69.32,67.54,0.941,1.026,0.917,1.01,11.76,progressive
910,19,0.36,71.72,67.64,63.69,0.943,1.062,0.888,0.41,30.56,progressive
911,18,0.34,123.76,96.61,97.36,0.781,0.992,0.787,1.22,14.71,progressive
913,25,0.48,109.17,53.68,82.26,0.492,0.653,0.753,1.6,22.92,progressive
915,19,0.36,51.82,39.46,40.6,0.762,0.972,0.783,0.82,19.44,progressive
921,19,0.36,27.32,11.27,15.24,0.412,0.739,0.558,0.37,30.56,progressive
926,17,0.32,148.8,84.07,89.41,0.565,0.94,0.601,1.69,18.75,progressive
927,18,0.34,103.05,49.12,71.38,0.477,0.688,0.693,1.04,14.71,progressive
930,16,0.3,121.01,107.99,102.17,0.892,1.057,0.844,1.29,13.33,progressive
1035,18,0.34,102.32,42.19,69.0,0.412,0.611,0.674,1.23,17.65,progressive
1195,21,0.4,180.3,64.75,96.53,0.359,0.671,0.535,3.55,17.5,progressive
1310,20,0.38,12.94,2.24,4.32,0.173,0.52,0.334,0.17,26.32,non_progressive
1313,26,0.5,150.03,108.31,126.37,0.722,0.857,0.842,1.92,24.0,progressive
1343,18,0.34,188.53,18.89,81.05,0.1,0.233,0.43,2.51,17.65,non_progressive
1417,29,0.56,44.82,27.16,35.05,0.606,0.775,0.782,0.48,16.07,progressive
1426,23,0.44,95.54,32.69,69.01,0.342,0.474,0.722,1.08,11.36,non_progressive
1493,19,0.36,69.12,66.24,60.5,0.958,1.095,0.875,0.43,30.56,progressive
1513,18,0.34,90.16,35.07,67.41,0.389,0.52,0.748,0.89,11.76,progressive
1680,22,0.42,146.89,43.51,64.62,0.296,0.673,0.44,1.67,16.67,progressive
1683,20,0.38,45.07,33.93,36.31,0.753,0.935,0.806,0.38,18.42,progressive
1708,19,0.36,12.79,0.87,3.68,0.068,0.235,0.288,0.17,19.44,non_progressive
1709,20,0.38,16.24,1.33,5.64,0.082,0.236,0.347,0.22,15.79,non_progressive
1710,19,0.36,48.42,40.02,37.79,0.826,1.059,0.78,0.48,22.22,progressive
1711,19,0.36,82.3,56.84,67.52,0.691,0.842,0.82,0.87,11.11,progressive
1712,20,0.38,79.68,4.19,17.97,0.053,0.233,0.226,1.2,23.68,non_progressive
1713,19,0.36,23.28,16.97,19.19,0.729,0.884,0.825,0.16,16.67,non_progressive
1715,19,0.36,95.43,47.16,64.68,0.494,0.729,0.678,1.01,22.22,progressive
