track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
1,755,15.08,7.97,0.02,2.68,0.003,0.008,0.337,0.12,20.23,non_progressive
2,629,12.56,13.41,0.07,4.73,0.005,0.015,0.352,0.2,20.3,non_progressive
5,755,15.08,3.71,0.01,1.24,0.002,0.007,0.335,0.05,22.48,immotile
6,755,15.08,3.3,0.01,1.21,0.004,0.011,0.366,0.05,19.96,immotile
7,755,15.08,17.04,0.04,5.9,0.002,0.007,0.346,0.26,19.23,non_progressive
51,16,0.3,49.73,44.72,44.53,0.899,1.004,0.895,0.86,20.0,progressive
91,252,5.0200000000000005,51.64,19.3,45.55,0.374,0.424,0.882,0.37,8.96,non_progressive
180,52,1.02,88.79,61.36,65.95,0.691,0.931,0.743,0.87,16.67,progressive
200,607,12.120000000000001,15.82,1.38,13.12,0.087,0.105,0.829,0.13,18.23,non_progressive
201,56,1.1,58.45,38.17,42.87,0.653,0.89,0.734,0.63,20.0,progressive
463,122,2.42,3.69,0.36,1.83,0.097,0.195,0.497,0.05,21.07,immotile
501,66,1.3,60.71,23.17,51.24,0.382,0.452,0.844,0.47,13.08,non_progressive
