track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
1,945,18.88,22.16,1.76,8.42,0.079,0.209,0.38,0.32,22.09,non_progressive
2,1470,29.38,18.03,0.06,5.51,0.003,0.011,0.306,0.27,20.73,non_progressive
5,1470,29.38,12.18,0.05,3.69,0.004,0.013,0.303,0.18,22.7,non_progressive
6,1462,29.22,17.21,0.08,4.63,0.004,0.016,0.269,0.26,24.47,non_progressive
7,1470,29.38,15.74,0.06,4.42,0.004,0.014,0.281,0.23,24.3,non_progressive
27,469,9.36,8.26,1.67,3.69,0.202,0.453,0.447,0.11,21.58,non_progressive
28,468,9.34,47.74,5.79,39.66,0.121,0.146,0.831,0.47,17.34,non_progressive
30,463,9.24,37.32,9.92,30.23,0.266,0.328,0.81,0.32,17.97,non_progressive
31,469,9.36,75.97,6.06,60.96,0.08,0.099,0.802,0.73,22.54,non_progressive
32,19,0.36,59.35,34.01,36.0,0.573,0.945,0.607,0.78,16.67,progressive
34,36,0.7000000000000001,37.99,14.84,30.87,0.391,0.481,0.813,0.33,20.0,non_progressive
97,402,8.02,70.23,37.34,61.83,0.532,0.604,0.88,0.55,24.81,progressive
187,17,0.32,51.44,39.93,37.35,0.776,1.069,0.726,0.58,15.62,progressive
349,83,1.6400000000000001,92.93,58.1,68.1,0.625,0.853,0.733,0.97,21.95,progressive
426,23,0.44,91.14,81.88,72.37,0.898,1.131,0.794,0.73,25.0,progressive
472,827,16.52,46.48,1.83,38.73,0.039,0.047,0.833,0.47,18.83,non_progressive
474,554,11.06,10.46,2.01,6.11,0.192,0.329,0.584,0.12,21.07,non_progressive
475,160,3.18,27.37,5.82,20.68,0.212,0.281,0.756,0.26,20.13,non_progressive
476,62,1.22,74.11,70.13,67.75,0.946,1.035,0.914,0.45,24.59,progressive
477,142,2.82,76.91,47.39,62.1,0.616,0.763,0.807,0.69,21.28,progressive
478,123,2.44,65.39,50.09,54.73,0.766,0.915,0.837,0.58,25.0,progressive
509,36,0.7000000000000001,35.05,11.52,25.04,0.329,0.46,0.714,0.35,14.29,non_progressive
515,49,0.96,71.96,65.57,63.55,0.911,1.032,0.883,0.53,23.96,progressive
518,45,0.88,68.57,16.34,47.2,0.238,0.346,0.688,0.67,11.36,non_progressive
549,18,0.34,72.5,26.59,44.21,0.367,0.601,0.61,0.78,11.76,progressive
598,174,3.46,62.81,19.7,58.03,0.314,0.339,0.924,0.4,24.86,non_progressive
641,18,0.34,50.14,6.82,36.9,0.136,0.185,0.736,0.49,11.76,non_progressive
702,54,1.06,13.3,1.23,3.76,0.092,0.326,0.283,0.17,29.25,non_progressive
703,50,0.98,60.22,34.29,43.58,0.569,0.787,0.724,0.67,17.35,progressive
726,25,0.48,64.73,55.63,52.2,0.859,1.066,0.807,0.58,22.92,progressive
732,150,2.98,58.37,13.29,52.58,0.228,0.253,0.901,0.37,20.81,non_progressive
739,456,9.1,62.61,46.58,52.96,0.744,0.88,0.846,0.59,17.58,progressive
757,70,1.3800000000000001,99.5,12.71,82.72,0.128,0.154,0.831,0.93,21.74,non_progressive
788,266,5.3,60.3,9.88,47.69,0.164,0.207,0.791,0.6,18.49,non_progressive
803,134,2.66,74.77,16.78,63.82,0.224,0.263,0.854,0.59,20.3,non_progressive
814,312,6.22,65.95,31.31,61.28,0.475,0.511,0.929,0.39,21.86,progressive
869,23,0.44,74.36,58.88,57.48,0.792,1.024,0.773,0.76,20.45,progressive
884,60,1.18,106.53,20.38,86.72,0.191,0.235,0.814,1.15,16.95,non_progressive
973,89,1.76,101.22,29.96,85.79,0.296,0.349,0.848,0.91,22.16,non_progressive
976,114,2.2600000000000002,75.07,29.98,61.96,0.399,0.484,0.825,0.68,23.45,non_progressive
988,104,2.06,43.1,19.27,36.78,0.447,0.524,0.853,0.37,20.39,progressive
990,40,0.78,54.76,11.75,42.64,0.215,0.276,0.779,0.53,17.95,non_progressive
1044,21,0.4,53.32,47.43,45.41,0.89,1.045,0.852,0.47,22.5,progressive
