track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
1,1161,23.2,12.66,0.16,4.41,0.013,0.037,0.348,0.18,23.49,non_progressive
4,1157,23.12,10.17,0.13,3.65,0.013,0.037,0.359,0.14,23.23,non_progressive
5,1161,23.2,17.44,0.3,6.07,0.017,0.049,0.348,0.25,22.33,non_progressive
6,916,18.3,26.49,4.2,20.9,0.159,0.201,0.789,0.23,18.36,non_progressive
8,1161,23.2,15.01,0.21,5.28,0.014,0.041,0.352,0.21,22.76,non_progressive
9,155,3.08,19.61,10.15,12.97,0.518,0.783,0.662,0.32,23.38,non_progressive
10,561,11.200000000000001,46.13,1.12,16.56,0.024,0.068,0.359,0.7,20.98,non_progressive
11,1161,23.2,17.33,0.16,5.93,0.009,0.028,0.342,0.25,22.41,non_progressive
12,165,3.2800000000000002,9.68,4.95,5.98,0.511,0.827,0.618,0.15,22.26,non_progressive
14,165,3.2800000000000002,11.61,7.93,7.84,0.683,1.012,0.675,0.17,24.7,non_progressive
15,1161,23.2,24.16,0.5,8.17,0.021,0.061,0.338,0.36,20.3,non_progressive
18,1079,21.56,22.01,0.77,8.14,0.035,0.095,0.37,0.32,21.57,non_progressive
19,1023,20.44,25.43,2.53,9.82,0.099,0.258,0.386,0.37,21.87,non_progressive
21,1171,23.400000000000002,16.78,0.11,6.43,0.007,0.017,0.383,0.23,22.78,non_progressive
22,1161,23.2,19.93,0.31,6.99,0.016,0.045,0.351,0.29,20.91,non_progressive
28,204,4.0600000000000005,16.39,0.42,5.37,0.026,0.078,0.328,0.22,24.63,non_progressive
29,1435,28.68,16.85,0.02,6.0,0.001,0.003,0.356,0.24,22.8,non_progressive
33,1141,22.8,11.57,0.04,4.08,0.003,0.009,0.352,0.16,22.28,non_progressive
40,941,18.8,24.5,1.2,8.77,0.049,0.137,0.358,0.35,21.17,non_progressive
47,562,11.22,29.38,3.93,19.51,0.134,0.202,0.664,0.34,19.43,non_progressive
53,388,7.74,44.45,9.86,25.28,0.222,0.39,0.569,0.58,20.28,non_progressive
63,160,3.18,5.07,2.1,2.95,0.414,0.71,0.583,0.06,26.73,non_progressive
64,160,3.18,4.53,0.7,2.15,0.154,0.325,0.475,0.06,20.75,immotile
65,160,3.18,6.94,1.57,3.77,0.226,0.416,0.543,0.09,21.38,non_progressive
66,160,3.18,4.37,1.29,2.4,0.294,0.536,0.549,0.06,23.58,immotile
67,160,3.18,20.55,6.34,15.03,0.308,0.422,0.731,0.22,18.24,non_progressive
68,160,3.18,4.71,0.17,2.4,0.036,0.071,0.51,0.06,20.44,immotile
70,160,3.18,5.57,1.65,3.11,0.297,0.532,0.558,0.07,21.07,non_progressive
71,76,1.5,28.99,6.89,19.11,0.238,0.361,0.659,0.35,22.0,non_progressive
72,158,3.14,15.91,2.45,11.25,0.154,0.218,0.707,0.18,19.43,non_progressive
73,160,3.18,6.38,1.96,3.32,0.307,0.589,0.521,0.08,21.07,non_progressive
74,160,3.18,38.4,13.1,18.3,0.341,0.716,0.477,0.52,22.33,progressive
75,160,3.18,3.96,0.34,1.95,0.085,0.173,0.493,0.05,22.96,immotile
76,159,3.16,10.44,0.79,3.96,0.076,0.2,0.379,0.14,22.47,non_progressive
77,160,3.18,7.88,1.19,3.47,0.15,0.341,0.441,0.1,22.64,non_progressive
78,160,3.18,4.55,0.2,2.25,0.044,0.089,0.495,0.06,21.7,immotile
79,160,3.18,22.09,1.24,8.73,0.056,0.142,0.395,0.32,22.01,non_progressive
80,160,3.18,49.48,7.33,44.31,0.148,0.165,0.896,0.3,11.32,non_progressive
83,147,2.92,56.8,9.4,41.18,0.165,0.228,0.725,0.69,17.47,non_progressive
84,160,3.18,61.67,18.89,50.89,0.306,0.371,0.825,0.57,12.26,non_progressive
86,116,2.3000000000000003,5.09,1.87,2.67,0.368,0.703,0.524,0.06,23.48,non_progressive
106,150,2.98,118.73,53.65,83.29,0.452,0.644,0.701,1.32,14.43,progressive
110,132,2.62,62.7,41.33,51.79,0.659,0.798,0.826,0.64,23.28,progressive
232,81,1.6,105.34,48.73,77.08,0.463,0.632,0.732,0.99,18.12,progressive
284,906,18.1,58.24,11.05,36.24,0.19,0.305,0.622,0.67,19.34,non_progressive
285,908,18.14,15.42,1.75,5.78,0.113,0.302,0.375,0.22,21.94,non_progressive
286,906,18.1,12.36,1.55,4.76,0.125,0.325,0.385,0.17,22.38,non_progressive
289,917,18.32,20.4,1.36,7.25,0.066,0.187,0.355,0.3,21.07,non_progressive
292,380,7.58,25.12,2.29,8.91,0.091,0.257,0.355,0.36,22.69,non_progressive
293,934,18.66,26.16,0.99,9.34,0.038,0.106,0.357,0.38,20.9,non_progressive
309,56,1.1,46.17,13.11,37.59,0.284,0.349,0.814,0.39,20.91,non_progressive
321,297,5.92,7.97,0.53,4.81,0.067,0.111,0.604,0.11,21.62,non_progressive
333,40,0.78,66.49,49.09,52.05,0.738,0.943,0.783,0.58,17.95,progressive
386,278,5.54,4.39,0.21,2.11,0.048,0.1,0.48,0.06,22.74,immotile
387,278,5.54,5.5,1.9,2.82,0.346,0.674,0.513,0.07,23.83,non_progressive
388,278,5.54,4.24,0.34,1.94,0.079,0.174,0.458,0.05,24.19,immotile
389,278,5.54,6.18,0.79,2.9,0.128,0.271,0.47,0.08,24.91,non_progressive
390,278,5.54,40.05,11.94,36.2,0.298,0.33,0.904,0.26,15.34,non_progressive
391,278,5.54,6.75,0.76,3.62,0.113,0.211,0.537,0.08,22.38,non_progressive
392,278,5.54,4.2,0.1,1.91,0.024,0.054,0.454,0.06,22.38,immotile
393,278,5.54,6.01,0.26,2.72,0.043,0.095,0.452,0.08,21.66,non_progressive
394,278,5.54,5.55,0.41,2.65,0.074,0.155,0.477,0.07,22.56,non_progressive
395,278,5.54,7.26,2.38,3.73,0.328,0.637,0.515,0.09,24.01,non_progressive
396,278,5.54,5.81,1.5,3.13,0.259,0.48,0.539,0.07,22.92,non_progressive
397,278,5.54,4.57,0.41,2.1,0.089,0.194,0.459,0.06,23.1,immotile
398,248,4.94,5.61,0.09,2.44,0.016,0.037,0.436,0.07,23.48,non_progressive
399,265,5.28,105.58,28.97,74.81,0.274,0.387,0.709,1.16,16.29,non_progressive
400,278,5.54,16.52,4.76,12.9,0.288,0.369,0.781,0.15,23.65,non_progressive
401,285,5.68,61.59,9.71,43.73,0.158,0.222,0.71,0.6,15.14,non_progressive
403,278,5.54,8.95,1.01,5.22,0.113,0.193,0.584,0.11,21.66,non_progressive
473,900,17.98,37.2,1.87,18.62,0.05,0.1,0.501,0.47,19.19,non_progressive
476,928,18.54,28.23,1.01,9.36,0.036,0.108,0.332,0.41,20.98,non_progressive
478,281,5.6000000000000005,9.39,1.83,4.43,0.195,0.413,0.471,0.13,21.96,non_progressive
490,168,3.34,6.06,0.43,2.76,0.071,0.155,0.455,0.08,23.95,non_progressive
500,29,0.56,9.76,5.17,5.63,0.529,0.918,0.577,0.12,21.43,non_progressive
757,850,16.98,38.22,12.48,18.32,0.327,0.681,0.479,0.53,21.79,progressive
758,883,17.64,29.71,3.13,15.96,0.105,0.196,0.537,0.36,21.83,non_progressive
759,173,3.44,88.26,31.52,63.54,0.357,0.496,0.72,0.93,20.93,non_progressive
761,849,16.96,35.84,6.84,31.38,0.191,0.218,0.876,0.27,14.68,non_progressive
762,34,0.66,35.58,2.34,11.8,0.066,0.198,0.332,0.57,18.18,non_progressive
774,777,15.52,40.13,5.53,28.82,0.138,0.192,0.718,0.41,17.4,non_progressive
798,163,3.24,7.57,1.67,3.92,0.22,0.425,0.519,0.1,20.99,non_progressive
802,83,1.6400000000000001,62.78,10.75,20.44,0.171,0.526,0.326,0.9,22.56,progressive
853,729,14.56,4.57,0.57,2.16,0.124,0.263,0.473,0.06,22.66,immotile
855,706,14.1,4.55,1.52,2.57,0.334,0.592,0.564,0.06,23.4,immotile
856,753,15.040000000000001,26.27,0.66,9.47,0.025,0.07,0.36,0.38,23.87,non_progressive
864,20,0.38,4.22,0.83,1.48,0.196,0.557,0.351,0.07,26.32,immotile
883,76,1.5,22.61,2.05,6.68,0.091,0.307,0.296,0.32,22.0,non_progressive
884,76,1.5,15.31,1.46,4.55,0.096,0.322,0.297,0.21,26.67,non_progressive
886,76,1.5,24.67,2.47,7.52,0.1,0.328,0.305,0.36,22.0,non_progressive
887,76,1.5,11.93,0.2,3.33,0.017,0.06,0.279,0.16,26.0,non_progressive
900,408,8.14,15.73,0.5,5.24,0.032,0.096,0.333,0.22,25.31,non_progressive
912,174,3.46,6.2,1.41,3.12,0.228,0.452,0.504,0.08,22.25,non_progressive
974,65,1.28,29.74,3.23,9.2,0.109,0.351,0.309,0.43,23.44,non_progressive
975,65,1.28,25.25,1.85,7.27,0.073,0.255,0.288,0.37,19.53,non_progressive
977,65,1.28,44.22,2.79,19.26,0.063,0.145,0.436,0.6,23.44,non_progressive
984,595,11.88,6.18,1.03,3.14,0.167,0.328,0.508,0.08,23.23,non_progressive
1036,157,3.12,6.35,0.88,2.96,0.138,0.297,0.465,0.08,21.47,non_progressive
1044,54,1.06,11.14,1.05,3.22,0.094,0.327,0.289,0.16,24.53,non_progressive
1047,54,1.06,30.32,1.73,8.79,0.057,0.197,0.29,0.45,21.7,non_progressive
1099,425,8.48,17.61,4.42,11.49,0.251,0.385,0.652,0.21,22.88,non_progressive
1138,43,0.84,19.16,2.18,5.18,0.114,0.421,0.27,0.27,23.81,non_progressive
1141,43,0.84,23.14,2.49,7.52,0.108,0.331,0.325,0.33,21.43,non_progressive
1144,43,0.84,29.35,1.73,7.76,0.059,0.223,0.264,0.43,21.43,non_progressive
1173,52,1.02,48.61,35.09,39.97,0.722,0.878,0.822,0.44,23.53,progressive
1181,342,6.82,12.18,0.95,5.39,0.078,0.177,0.442,0.16,22.87,non_progressive
1227,304,6.0600000000000005,57.44,38.42,45.56,0.669,0.843,0.793,0.58,24.92,progressive
