track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
1,155,3.08,31.07,25.73,29.66,0.828,0.868,0.955,0.1,4.55,progressive
2,95,1.8800000000000001,26.84,22.48,25.03,0.838,0.898,0.933,0.11,11.17,progressive
3,119,2.36,29.88,16.0,28.06,0.536,0.57,0.939,0.13,8.05,progressive
4,655,13.08,2.55,2.37,2.44,0.929,0.968,0.959,0.0,1.61,immotile
5,642,12.82,28.36,6.5,27.89,0.229,0.233,0.983,0.05,4.91,non_progressive
6,1470,29.38,0.05,0.05,0.05,1.0,1.002,0.998,0.0,0.0,immotile
7,1470,29.38,2.41,2.39,2.41,0.993,0.994,0.999,0.0,0.34,immotile
8,1470,29.38,5.03,3.04,4.94,0.604,0.615,0.982,0.0,1.63,non_progressive
9,1326,26.5,34.44,6.67,33.17,0.194,0.201,0.963,0.07,5.7,non_progressive
10,1078,21.54,4.69,4.31,4.68,0.918,0.921,0.996,0.0,1.16,immotile
11,476,9.5,47.0,3.9,44.62,0.083,0.087,0.949,0.16,9.05,non_progressive
12,1470,29.38,0.45,0.28,0.44,0.633,0.641,0.989,0.0,0.2,immotile
13,543,10.84,12.36,1.8,11.4,0.146,0.158,0.922,0.04,4.89,non_progressive
14,992,19.82,29.36,4.07,28.52,0.139,0.143,0.972,0.04,5.2,non_progressive
15,379,7.5600000000000005,89.27,14.05,64.67,0.157,0.217,0.724,0.72,14.55,non_progressive
16,332,6.62,30.85,1.86,30.62,0.06,0.061,0.993,0.02,8.31,non_progressive
17,26,0.5,123.36,36.04,72.75,0.292,0.495,0.59,1.31,10.0,non_progressive
18,12,0.22,86.8,8.61,50.41,0.099,0.171,0.581,0.99,18.18,non_progressive
19,87,1.72,143.51,50.32,73.44,0.351,0.685,0.512,1.75,20.35,progressive
20,384,7.66,12.31,0.38,11.75,0.031,0.032,0.954,0.03,5.22,non_progressive
21,210,4.18,43.12,6.99,41.64,0.162,0.168,0.966,0.09,7.66,non_progressive
22,97,1.92,112.47,71.17,81.97,0.633,0.868,0.729,0.87,15.1,progressive
23,28,0.54,119.64,43.76,71.96,0.366,0.608,0.601,1.25,16.67,progressive
24,88,1.74,33.12,28.49,31.74,0.86,0.898,0.958,0.07,10.34,progressive
25,37,0.72,126.16,42.18,72.57,0.334,0.581,0.575,1.31,19.44,progressive
26,209,4.16,20.11,4.24,18.1,0.211,0.234,0.9,0.09,15.14,non_progressive
27,136,2.7,132.09,32.75,80.8,0.248,0.405,0.612,1.37,18.89,non_progressive
28,40,0.78,125.55,51.77,76.29,0.412,0.679,0.608,1.37,15.38,progressive
29,193,3.84,46.52,1.15,43.52,0.025,0.026,0.936,0.11,9.38,non_progressive
30,44,0.86,116.91,42.14,70.37,0.36,0.599,0.602,1.19,13.95,progressive
31,102,2.02,33.39,29.69,32.77,0.889,0.906,0.982,0.06,12.38,progressive
32,84,1.6600000000000001,46.59,45.61,45.41,0.979,1.004,0.975,0.04,15.06,progressive
33,42,0.8200000000000001,31.62,15.06,23.16,0.476,0.65,0.732,0.23,7.32,progressive
34,29,0.56,136.28,62.13,74.98,0.456,0.829,0.55,1.34,19.64,progressive
35,23,0.44,95.69,65.61,63.89,0.686,1.027,0.668,0.92,20.45,progressive
36,54,1.06,22.71,20.25,22.23,0.892,0.911,0.979,0.03,21.7,non_progressive
37,73,1.44,21.69,18.11,20.0,0.835,0.905,0.922,0.08,13.89,non_progressive
38,299,5.96,29.87,5.55,29.63,0.186,0.187,0.992,0.02,4.87,non_progressive
39,57,1.12,123.92,58.74,80.3,0.474,0.731,0.648,1.28,17.86,progressive
40,73,1.44,24.83,13.94,21.99,0.561,0.634,0.886,0.1,15.97,non_progressive
42,50,0.98,119.4,77.1,81.85,0.646,0.942,0.686,1.01,20.41,progressive
43,14,0.26,80.83,41.92,51.21,0.519,0.819,0.634,0.84,19.23,progressive
44,175,3.48,41.21,20.41,39.41,0.495,0.518,0.956,0.09,10.63,progressive
45,287,5.72,31.77,9.35,31.46,0.294,0.297,0.99,0.02,7.69,non_progressive
46,14,0.26,75.35,54.11,56.61,0.718,0.956,0.751,0.53,15.38,progressive
47,60,1.18,116.76,65.98,83.29,0.565,0.792,0.713,0.99,16.1,progressive
48,24,0.46,93.33,45.2,63.74,0.484,0.709,0.683,0.74,13.04,progressive
50,25,0.48,122.01,37.42,65.15,0.307,0.574,0.534,1.42,12.5,progressive
51,28,0.54,41.75,27.36,26.1,0.655,1.048,0.625,0.44,16.67,progressive
52,141,2.8000000000000003,41.94,8.93,39.13,0.213,0.228,0.933,0.1,15.0,non_progressive
53,72,1.42,140.96,47.33,82.56,0.336,0.573,0.586,1.57,20.42,progressive
54,34,0.66,117.5,41.08,65.7,0.35,0.625,0.559,1.38,15.15,progressive
