track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
1,755,15.08,0.24,0.23,0.24,0.987,0.989,0.998,0.0,0.99,immotile
2,206,4.1,58.11,45.39,49.86,0.781,0.91,0.858,0.38,9.02,progressive
3,755,15.08,14.48,0.85,12.59,0.059,0.067,0.87,0.07,6.23,non_progressive
4,755,15.08,0.07,0.07,0.07,1.0,1.001,0.999,0.0,0.13,immotile
5,111,2.2,50.27,2.8,43.22,0.056,0.065,0.86,0.26,9.55,non_progressive
6,118,2.34,35.9,4.23,31.21,0.118,0.136,0.87,0.16,16.24,non_progressive
7,251,5.0,46.15,19.64,39.26,0.426,0.5,0.851,0.25,18.0,progressive
8,136,2.7,32.72,9.03,26.28,0.276,0.343,0.803,0.24,9.26,non_progressive
9,57,1.12,72.17,55.6,62.3,0.77,0.893,0.863,0.35,21.43,progressive
10,68,1.34,55.38,24.19,47.62,0.437,0.508,0.86,0.32,19.4,progressive
