track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
2,185,3.68,22.44,7.82,16.1,0.349,0.486,0.717,0.25,18.21,non_progressive
3,499,9.96,5.28,0.03,2.1,0.005,0.013,0.397,0.07,22.09,non_progressive
5,499,9.96,3.65,0.74,2.07,0.202,0.355,0.568,0.05,22.69,immotile
6,499,9.96,4.83,1.03,2.71,0.212,0.378,0.562,0.06,20.48,immotile
7,19,0.36,54.63,5.54,34.79,0.101,0.159,0.637,0.71,22.22,non_progressive
8,483,9.64,35.1,13.24,24.73,0.377,0.536,0.704,0.39,16.29,progressive
9,499,9.96,8.22,1.64,4.02,0.2,0.409,0.489,0.11,21.79,non_progressive
10,493,9.84,16.65,7.39,12.39,0.444,0.597,0.744,0.19,19.61,non_progressive
15,378,7.54,31.91,1.61,19.35,0.05,0.083,0.606,0.42,16.71,non_progressive
20,244,4.86,27.64,6.32,21.99,0.229,0.287,0.796,0.26,15.64,non_progressive
25,166,3.3000000000000003,26.88,1.62,13.21,0.06,0.122,0.492,0.37,18.18,non_progressive
28,232,4.62,73.14,55.24,59.74,0.755,0.925,0.817,0.69,24.89,progressive
31,443,8.84,15.42,1.94,11.24,0.126,0.173,0.729,0.16,22.4,non_progressive
38,468,9.34,27.7,5.81,23.73,0.21,0.245,0.857,0.22,17.99,non_progressive
47,184,3.66,57.85,44.23,48.04,0.765,0.921,0.83,0.54,22.68,progressive
50,42,0.8200000000000001,37.85,12.35,30.05,0.326,0.411,0.794,0.34,14.63,non_progressive
110,721,14.4,22.88,3.38,9.29,0.148,0.364,0.406,0.33,22.5,non_progressive
141,119,2.36,25.97,7.13,16.08,0.274,0.443,0.619,0.31,17.8,non_progressive
145,233,4.64,7.12,4.25,4.85,0.598,0.878,0.681,0.09,23.06,non_progressive
165,19,0.36,43.37,17.66,30.77,0.407,0.574,0.709,0.43,13.89,progressive
182,251,5.0,38.5,10.96,33.5,0.285,0.327,0.87,0.28,15.0,non_progressive
195,72,1.42,30.7,9.2,24.52,0.3,0.375,0.799,0.31,10.56,non_progressive
199,128,2.54,14.54,9.14,10.71,0.629,0.854,0.737,0.19,21.65,non_progressive
221,184,3.66,45.18,21.63,35.68,0.479,0.606,0.79,0.45,15.85,progressive
223,183,3.64,23.48,3.82,12.11,0.163,0.316,0.516,0.32,17.03,non_progressive
283,66,1.3,30.11,2.84,17.64,0.094,0.161,0.586,0.39,17.69,non_progressive
319,28,0.54,37.97,1.22,19.66,0.032,0.062,0.518,0.52,14.81,non_progressive
324,525,10.48,3.78,0.1,1.89,0.026,0.051,0.5,0.05,23.09,immotile
325,491,9.8,8.1,3.75,4.85,0.463,0.773,0.599,0.09,22.55,non_progressive
326,158,3.14,6.82,3.52,4.17,0.516,0.845,0.611,0.09,21.34,non_progressive
327,517,10.32,6.87,2.17,3.79,0.316,0.572,0.552,0.09,23.35,non_progressive
329,525,10.48,6.75,0.93,3.25,0.138,0.286,0.481,0.09,22.42,non_progressive
330,149,2.96,79.04,41.68,56.99,0.527,0.731,0.721,0.93,19.93,progressive
335,373,7.44,27.55,13.43,22.49,0.488,0.597,0.816,0.27,15.99,progressive
338,516,10.3,37.57,8.72,31.09,0.232,0.28,0.828,0.33,12.23,non_progressive
357,347,6.92,56.56,34.83,41.08,0.616,0.848,0.726,0.63,17.49,progressive
