track_id,n_frames,duration_s,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,motility
1,1175,23.48,4.68,1.65,3.29,0.352,0.5,0.704,0.08,22.06,immotile
2,428,8.540000000000001,3.56,0.74,1.71,0.208,0.434,0.48,0.05,20.84,immotile
3,428,8.540000000000001,5.26,0.73,3.3,0.138,0.221,0.626,0.07,20.14,non_progressive
5,427,8.52,7.74,0.58,3.73,0.075,0.157,0.481,0.11,20.07,non_progressive
7,428,8.540000000000001,3.11,0.89,1.76,0.287,0.508,0.566,0.04,20.96,immotile
9,428,8.540000000000001,2.75,0.14,1.24,0.052,0.116,0.451,0.04,23.65,immotile
11,428,8.540000000000001,3.11,0.49,1.51,0.157,0.322,0.486,0.04,23.07,immotile
12,410,8.18,4.94,0.19,2.01,0.038,0.094,0.408,0.07,23.11,immotile
13,426,8.5,38.82,10.42,30.68,0.268,0.34,0.79,0.39,15.88,non_progressive
15,93,1.84,3.54,0.59,1.43,0.166,0.411,0.404,0.05,20.11,immotile
16,426,8.5,6.53,0.24,3.06,0.036,0.077,0.468,0.09,22.12,non_progressive
17,301,6.0,19.3,5.13,11.61,0.266,0.442,0.602,0.22,19.17,non_progressive
44,141,2.8000000000000003,4.13,0.98,2.05,0.239,0.481,0.496,0.06,23.93,immotile
49,125,2.48,5.13,2.08,2.92,0.404,0.711,0.569,0.07,22.58,non_progressive
64,95,1.8800000000000001,7.78,1.47,3.89,0.189,0.378,0.501,0.11,19.15,non_progressive
83,743,14.84,21.28,7.43,18.59,0.349,0.4,0.874,0.16,12.8,non_progressive
84,738,14.74,5.21,0.36,2.97,0.07,0.122,0.57,0.06,22.05,non_progressive
85,419,8.36,32.0,22.61,27.4,0.706,0.825,0.856,0.27,16.99,progressive
86,1011,20.2,29.61,9.18,25.4,0.31,0.361,0.858,0.27,14.46,non_progressive
87,279,5.5600000000000005,23.58,3.08,20.52,0.131,0.15,0.87,0.16,14.57,non_progressive
88,480,9.58,28.27,13.25,21.65,0.468,0.612,0.766,0.29,18.79,progressive
89,746,14.9,3.73,0.62,2.24,0.167,0.279,0.601,0.05,22.55,immotile
92,744,14.86,6.59,0.05,3.11,0.007,0.015,0.473,0.09,21.53,non_progressive
94,79,1.56,5.06,1.37,2.47,0.271,0.556,0.488,0.06,22.44,non_progressive
96,193,3.84,5.19,0.58,2.52,0.112,0.23,0.487,0.07,23.18,non_progressive
100,137,2.72,23.84,13.87,19.14,0.582,0.725,0.803,0.25,16.54,non_progressive
114,34,0.66,7.46,3.31,4.53,0.444,0.732,0.607,0.1,22.73,non_progressive
115,17,0.32,51.12,38.24,36.96,0.748,1.035,0.723,0.48,21.88,progressive
119,83,1.6400000000000001,4.96,0.1,2.2,0.021,0.048,0.444,0.07,23.78,immotile
125,559,11.16,27.2,1.82,23.13,0.067,0.079,0.85,0.23,16.13,non_progressive
139,42,0.8200000000000001,7.83,0.79,4.82,0.101,0.164,0.616,0.1,26.83,non_progressive
146,71,1.4000000000000001,59.37,37.06,49.37,0.624,0.751,0.832,0.63,19.29,progressive
158,754,15.06,7.74,3.08,5.24,0.399,0.589,0.677,0.13,22.31,non_progressive
163,264,5.26,4.57,0.35,2.17,0.077,0.162,0.475,0.06,22.24,immotile
171,458,9.14,7.96,0.68,5.25,0.086,0.13,0.66,0.1,21.01,non_progressive
175,166,3.3000000000000003,24.55,12.78,19.66,0.52,0.65,0.801,0.24,17.27,non_progressive
185,185,3.68,31.31,23.79,27.55,0.76,0.864,0.88,0.26,22.55,progressive
190,19,0.36,77.74,56.64,63.33,0.729,0.894,0.815,1.11,19.44,progressive
211,202,4.0200000000000005,34.73,28.65,30.82,0.825,0.929,0.888,0.28,22.14,progressive
