video,escape_I,dwell_I_s,p_P_NP,p_NP_P,vitality,immotile_alive,gt_immotile,gt_progressive,gt_non_progressive
11,0.044300171854114945,0.45146551724137934,0.15876598946576373,0.014732135119676934,80.0,57.6,72.0,11.0,17.0
12,0.02857142857142858,0.6999999999999997,0.01722669190724089,0.03459698196540302,94.0,12.22,13.0,33.0,54.0
13,0.1147086031452359,0.1743548387096774,0.10649847094801224,0.035299616255042805,88.0,32.56,37.0,33.0,30.0
14,0.0807799442896936,0.2475862068965517,0.0167427701674277,0.004695465521867454,96.0,15.36,16.0,41.0,43.0
15,0.05672609400324147,0.35257142857142876,0.05904230590423059,0.010094783077752948,93.0,36.27,39.0,15.0,46.0
19,0.22598870056497178,0.0885,0.10813594232749743,0.017997167432381084,93.0,21.39,23.0,58.0,19.0
21,0.06686390532544384,0.2991150442477874,0.04516129032258064,0.017678708685626442,95.0,37.05,39.0,30.0,31.0
22,0.053932584269662964,0.37083333333333307,0.03407072501211045,0.02178359582736756,75.0,14.25,19.0,56.0,25.0
23,0.045454545454545414,0.44000000000000045,0.2920353982300885,0.012865497076023392,85.0,40.8,48.0,18.0,34.0
24,0.11170212765957444,0.1790476190476191,0.22961593756418155,0.04512304460115885,95.0,38.0,40.0,35.0,25.0
29,0.08796296296296291,0.22736842105263172,0.125,0.014734774066797643,81.0,61.56,76.0,4.0,20.0
30,0.21698113207547165,0.09217391304347827,0.024973672333383483,0.014600306525772364,91.0,30.94,34.0,26.0,40.0
35,0.12621359223300976,0.1584615384615384,0.18577721837633732,0.03415203607480486,83.0,60.59,73.0,1.0,26.0
36,0.05349870418363567,0.3738408304498272,0.08856321436084426,0.027577704237233144,73.0,21.17,29.0,36.0,35.0
38,0.06933333333333336,0.2884615384615384,0.05639097744360902,0.029093693176380515,84.0,26.04,31.0,38.0,31.0
47,0.025753424657534274,0.7765957446808502,0.03372908796546142,0.02498524493409404,78.0,35.88,46.0,12.0,42.0
52,0.046025104602510414,0.43454545454545496,0.10836120401337793,0.05508684863523573,70.0,37.8,54.0,14.0,32.0
60,0.0625,0.32,0.0749063670411985,0.04249474874777832,87.0,32.19,37.0,19.0,44.0
82,0.05875706214689269,0.3403846153846152,0.05619530170428374,0.022126281705342688,85.0,42.5,50.0,17.0,33.0
