kinetic,clinical,rho,p,n,q_fdr
p_NP_to_P,Teratozoospermia index,-0.6482219064872716,0.0026852447060145552,19,0.26291177588429726
dwell_P_s,Immotile sperm (%),-0.6417912921287082,0.0030543091216421034,19,0.26291177588429726
p_P_to_NP,Immotile sperm (%),0.6417912921287082,0.0030543091216421034,19,0.26291177588429726
dwell_P_s,Sperm C18:0 (stearic acid),0.6301009821152604,0.003832533176155937,19,0.26291177588429726
p_P_to_NP,Sperm C18:0 (stearic acid),-0.6301009821152604,0.003832533176155937,19,0.26291177588429726
p_NP_to_P,"Serum anti-Müllerian hormone, AMH (pmol/L)",0.5917473746850197,0.007609827630722534,19,0.30318352076514077
dwell_NP_s,Teratozoospermia index,0.586737443812327,0.008272796351165443,19,0.30318352076514077
p_NP_to_I,Head defects (%),0.583523825038463,0.00872218660367848,19,0.30318352076514077
p_P_to_NP,Non progressive sperm motility (%),-0.5768219957983055,0.009723086671768364,19,0.30318352076514077
dwell_NP_s,"Serum anti-Müllerian hormone, AMH (pmol/L)",-0.5768219957983055,0.009723086671768364,19,0.30318352076514077
dwell_P_s,Non progressive sperm motility (%),0.5768219957983055,0.009723086671768364,19,0.30318352076514077
p_P_to_NP,Sperm C14:0 (myristic acid),0.5532635122382107,0.014002173010818573,19,0.3646744921206521
dwell_P_s,Sperm C14:0 (myristic acid),-0.5532635122382107,0.014002173010818573,19,0.3646744921206521
p_NP_to_I,Normal spermatozoa (%),-0.5491470438050793,0.014884673147781718,19,0.3646744921206521
p_NP_to_I,Tail defects (%),0.5326898274985559,0.018866787631543522,19,0.4314205438412952
p_NP_to_P,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",-0.5212144294706533,0.022111871175850808,19,0.4740232383323017
dwell_NP_s,Cytoplasmic droplet (%),0.4833047885711401,0.03605633209637058,19,0.6372788418080849
dwell_I_s,"Serum Luteinizing hormone, LH (IU/L)",-0.4714663801273821,0.04157429645987345,19,0.6372788418080849
escape_I,"Serum Luteinizing hormone, LH (IU/L)",0.4714663801273821,0.04157429645987345,19,0.6372788418080849
p_NP_to_P,Head defects (%),-0.4680530983314561,0.043279818683618576,19,0.6372788418080849
dwell_P_s,Sperm C15:0 (pentadecanoic acid),-0.4673230195461178,0.0436514835379804,19,0.6372788418080849
p_P_to_NP,Sperm C15:0 (pentadecanoic acid),0.4673230195461178,0.0436514835379804,19,0.6372788418080849
p_NP_to_P,Sperm C20:1 n-9,-0.46567629135927907,0.04449877125099627,19,0.6372788418080849
p_P_to_NP,Sperm C16:1 n-7 (palmitoleic acid),0.45271106224179947,0.0516168851653677,19,0.6372788418080849
dwell_P_s,Sperm C16:1 n-7 (palmitoleic acid),-0.45271106224179947,0.0516168851653677,19,0.6372788418080849
p_NP_to_I,"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",-0.44894644507436915,0.053837345866072875,19,0.6372788418080849
dwell_P_s,Sperm C20:4 n-6 and C22:1 n-9 combined,0.44815534940232993,0.05431301498042596,19,0.6372788418080849
p_P_to_NP,Sperm C20:4 n-6 and C22:1 n-9 combined,-0.44815534940232993,0.05431301498042596,19,0.6372788418080849
p_NP_to_I,Teratozoospermia index,0.44444483019316994,0.05658666235672031,19,0.6372788418080849
dwell_NP_s,Sperm C20:1 n-9,0.4308176054417899,0.0655575163400179,19,0.6372788418080849
p_NP_to_P,Total sperm count (x10⁶),0.4263157894736842,0.06874301722703564,19,0.6372788418080849
escape_I,Sperm vitality (%),0.42336444299033177,0.07089316094891256,19,0.6372788418080849
dwell_I_s,Sperm vitality (%),-0.42336444299033177,0.07089316094891256,19,0.6372788418080849
dwell_NP_s,Head defects (%),0.4213359340912165,0.07239974956247663,19,0.6372788418080849
p_NP_to_P,Tail defects (%),-0.4194822694304937,0.07379717045163442,19,0.6372788418080849
escape_I,Sperm C20:3 n-6,0.41827832610884125,0.0747154471797268,19,0.6372788418080849
dwell_I_s,Sperm C20:3 n-6,-0.41827832610884125,0.0747154471797268,19,0.6372788418080849
escape_I,Sperm C20:4 n-6 and C22:1 n-9 combined,0.41652085415040074,0.07607108864844431,19,0.6372788418080849
dwell_I_s,Sperm C20:4 n-6 and C22:1 n-9 combined,-0.41652085415040074,0.07607108864844431,19,0.6372788418080849
p_NP_to_P,Sperm concentration (x10⁶/mL),0.4122807017543859,0.07941665997517341,19,0.6372788418080849
p_P_to_NP,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.41142956510098294,0.08010110654647636,19,0.6372788418080849
dwell_P_s,"Sperm C18:2 n-6 (Linoleic acid, LA)",-0.41142956510098294,0.08010110654647636,19,0.6372788418080849
p_NP_to_I,Ejaculate volume (mL),-0.40843250205498816,0.08254587076606089,19,0.6372788418080849
p_P_to_NP,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.39824568304019364,0.09126650304633552,19,0.6372788418080849
dwell_P_s,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),-0.39824568304019364,0.09126650304633552,19,0.6372788418080849
p_NP_to_I,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",0.3975364292572779,0.09189774584466182,19,0.6372788418080849
dwell_NP_s,"High DNA stainability, HDS (%)",0.39190091986502107,0.09702704647463453,19,0.6372788418080849
dwell_NP_s,Midpiece and neck defects (%),0.39015877477379307,0.0986539453435486,19,0.6372788418080849
p_P_to_NP,"DNA fragmentation index, DFI (%)",0.3827558845680352,0.10578805599119115,19,0.6372788418080849
dwell_P_s,"DNA fragmentation index, DFI (%)",-0.3827558845680352,0.10578805599119115,19,0.6372788418080849
dwell_I_s,Sperm C18:0 (stearic acid),-0.3826239947106595,0.10591843392524956,19,0.6372788418080849
escape_I,Sperm C18:0 (stearic acid),0.3826239947106595,0.10591843392524956,19,0.6372788418080849
p_NP_to_I,"Serum anti-Müllerian hormone, AMH (pmol/L)",-0.3784022529513998,0.11015315527660714,19,0.6372788418080849
