fa,mem,rho,p,n,q
Sperm C14:0 (myristic acid),asym_Prog_Non-,0.27177611770751614,0.01755320201459597,77,0.7459980925919144
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",dwell_cv_Non-,-0.19383157117124658,0.09339953887282737,77,0.7459980925919144
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",dwell_mean_Immo,-0.20887257318454056,0.08500018315144996,70,0.7459980925919144
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",dwell_cv_Prog,-0.22894165446300618,0.04666860364053025,77,0.7459980925919144
Sperm C24:1 n-9,dwell_mean_Prog,0.23613897404247594,0.040011044951390635,77,0.7459980925919144
Sperm C16:1 n-7 (palmitoleic acid),dwell_mean_Immo,-0.2351774918685819,0.05174854298066958,70,0.7459980925919144
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",asym_Prog_Non-,-0.19719352759685937,0.08774560151438225,77,0.7459980925919144
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",dwell_cv_Non-,-0.2130949767300859,0.06457043771704486,77,0.7459980925919144
Sperm C24:1 n-9,P_stay_prog,0.27842452390650274,0.0148758687324961,77,0.7459980925919144
Sperm C24:1 n-9,dwell_mean_Non-,0.20612710494920225,0.07402961581874253,77,0.7459980925919144
Sperm C16:0 (palmitic acid),dwell_cv_Non-,-0.207899622143885,0.07152411567785348,77,0.7459980925919144
Sperm C20:1 n-9,P_stay_nonprog,0.21499563932287194,0.06216733664596521,77,0.7459980925919144
Sperm C20:1 n-9,P_stay_prog,0.20683648981183814,0.07301857625345506,77,0.7459980925919144
Sperm C20:4 n-6 and C22:1 n-9 combined,asym_Prog_Non-,-0.19621832048443405,0.0893570637842515,77,0.7459980925919144
Sperm C18:1 trans n-6 to n-11,dwell_cv_Non-,0.2709157277146468,0.017928221367223048,77,0.7459980925919144
Sperm C16:0 (palmitic acid),dwell_mean_Immo,0.25481640918801757,0.03459979358070417,70,0.7459980925919144
Sperm C20:1 n-9,dwell_cv_Prog,0.21109150039192398,0.06718426187625726,77,0.7459980925919144
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",asym_Prog_Immo,0.22751256064208514,0.04809359634056389,77,0.7459980925919144
Sperm C20:3 n-6,asym_Prog_Immo,-0.23053044299667105,0.045125418237045585,77,0.7459980925919144
Sperm C24:0,P_stay_prog,0.19009954419248817,0.10000699067355373,77,0.7459980925919144
Sperm C22:0,dwell_cv_Prog,0.20593122083165724,0.07431076256772873,77,0.7459980925919144
Sperm C22:0,dwell_cv_Immo,-0.2026465630148552,0.09493282660653687,70,0.7459980925919144
Sperm C18:0 (stearic acid),dwell_mean_Non-,0.19134292911236417,0.09776623478451746,77,0.7459980925919144
Sperm C18:0 (stearic acid),dwell_mean_Prog,0.22395099323330125,0.05180130555666531,77,0.7459980925919144
Sperm C16:0 (palmitic acid),asym_Prog_Non-,-0.21292339599517707,0.0647910209382929,77,0.7459980925919144
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",dwell_cv_Prog,0.20849669397429604,0.07069563046169294,77,0.7459980925919144
Sperm C18:0 (stearic acid),dwell_cv_Prog,0.22938543784192192,0.046233242600173315,77,0.7459980925919144
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",P_stay_immotile,-0.20238929342525866,0.07954339388440496,77,0.7459980925919144
Sperm C18:1 trans n-6 to n-11,asym_Prog_Non-,0.29946612985096094,0.008588208482454668,77,0.7459980925919144
Sperm C18:1 trans n-6 to n-11,asym_Prog_Immo,0.22251124496921962,0.05336515569126358,77,0.7459980925919144
Sperm C18:1 n-9 (oleic acid),asym_Prog_Non-,0.19700499285060324,0.08805533843857008,77,0.7459980925919144
Sperm C18:1 trans n-6 to n-11,dwell_mean_Immo,-0.2009258023885894,0.09783246012555313,70,0.7459980925919144
Sperm C14:0 (myristic acid),asym_Prog_Immo,0.24097411596507096,0.03599750145705533,77,0.7459980925919144
Sperm C16:1 n-7 (palmitoleic acid),asym_Prog_Non-,0.3095956668213117,0.006499181408358811,77,0.7459980925919144
