video,window,t_start_s,t_mid_s,t_end_s,n_active,pct_Progressive,n_Progressive,pct_Non-progressive,n_Non-progressive,pct_Immotile,n_Immotile
11,1,0.0,2.5,5.0,45,22.22222222222222,10,8.88888888888889,4,68.88888888888889,31
11,2,5.0,7.5,10.0,44,13.636363636363637,6,11.363636363636363,5,75.0,33
11,3,10.0,12.5,15.0,42,9.523809523809524,4,9.523809523809524,4,80.95238095238095,34
11,4,15.0,17.5,20.0,38,5.2631578947368425,2,7.894736842105263,3,86.84210526315789,33
11,5,20.0,22.5,25.0,40,5.0,2,10.0,4,85.0,34
12,1,0.0,2.5,5.0,42,76.19047619047619,32,11.904761904761905,5,11.904761904761905,5
12,2,5.0,7.5,10.0,41,65.85365853658537,27,21.951219512195124,9,12.195121951219512,5
12,3,10.0,12.5,15.0,37,70.27027027027027,26,18.91891891891892,7,10.81081081081081,4
12,4,15.0,17.5,20.0,42,69.04761904761905,29,16.666666666666668,7,14.285714285714286,6
12,5,20.0,22.5,25.0,41,70.73170731707317,29,19.51219512195122,8,9.75609756097561,4
13,1,0.0,2.5,5.0,49,22.448979591836736,11,20.408163265306122,10,57.142857142857146,28
13,2,5.0,7.5,10.0,48,18.75,9,20.833333333333332,10,60.416666666666664,29
13,3,10.0,12.5,15.0,53,22.641509433962263,12,18.867924528301888,10,58.490566037735846,31
13,4,15.0,17.5,20.0,52,15.384615384615385,8,34.61538461538461,18,50.0,26
13,5,20.0,22.5,25.0,45,13.333333333333334,6,26.666666666666668,12,60.0,27
14,1,0.0,2.5,5.0,4,50.0,2,25.0,1,25.0,1
14,2,5.0,7.5,10.0,4,75.0,3,0.0,0,25.0,1
14,3,10.0,12.5,15.0,8,62.5,5,12.5,1,25.0,2
14,4,15.0,17.5,20.0,4,50.0,2,25.0,1,25.0,1
14,5,20.0,22.5,25.0,4,50.0,2,0.0,0,50.0,2
15,1,0.0,2.5,5.0,26,3.8461538461538463,1,15.384615384615385,4,80.76923076923077,21
15,2,5.0,7.5,10.0,25,4.0,1,8.0,2,88.0,22
15,3,10.0,12.5,15.0,27,11.11111111111111,3,7.407407407407407,2,81.48148148148148,22
15,4,15.0,17.5,20.0,37,16.216216216216218,6,10.81081081081081,4,72.97297297297297,27
15,5,20.0,22.5,25.0,9,33.333333333333336,3,11.11111111111111,1,55.55555555555556,5
19,1,0.0,2.5,5.0,26,38.46153846153846,10,7.6923076923076925,2,53.84615384615385,14
19,2,5.0,7.5,10.0,28,32.142857142857146,9,25.0,7,42.857142857142854,12
19,3,10.0,12.5,15.0,27,33.333333333333336,9,7.407407407407407,2,59.25925925925926,16
19,4,15.0,17.5,20.0,28,28.571428571428573,8,21.428571428571427,6,50.0,14
19,5,20.0,22.5,25.0,29,27.586206896551722,8,20.689655172413794,6,51.724137931034484,15
21,1,0.0,2.5,5.0,26,26.923076923076923,7,11.538461538461538,3,61.53846153846154,16
21,2,5.0,7.5,10.0,26,26.923076923076923,7,11.538461538461538,3,61.53846153846154,16
21,3,10.0,12.5,15.0,21,14.285714285714286,3,4.761904761904762,1,80.95238095238095,17
